"PK_ACTVTY";"FPK_NATURA";"SITECODE";"ACT_CODE";"DESCRIPT_FR";"IN_OUT";"INTENSITY";"INFLUENCE";"POLLUTION";"HABITATS";"ESPECES"
"75226";"8647";"FR8301067";"G05.08";"Fermeture de grottes ou de galeries ";"I";"M";"-";;;
"75227";"8647";"FR8301067";"G01.08";"Autres activités de plein air et de loisirs";"I";"M";"-";;;
"75228";"8647";"FR8301067";"L06";"Effondrements souterrains";"I";"H";"-";;;
"75229";"8648";"FR8301070";"A04";"Pâturage";"I";"M";"+";;;
"75230";"8648";"FR8301070";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"L";"-";;;
"75231";"8648";"FR8301070";"A08";"Fertilisation";"I";"M";"-";;;
"75232";"8648";"FR8301070";"B";"Sylviculture et opérations forestières";"I";"M";"+";;;
"75233";"8648";"FR8301070";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"L";"-";;;
"75234";"8648";"FR8301070";"F06";"Autres activités de chasse, de pêche ou de collecte";"I";"L";"-";;;
"75235";"8648";"FR8301070";"G01.03";"Véhicules motorisés";"I";"L";"-";;;
"75236";"8648";"FR8301070";"G05";"Autres intrusions et perturbations humaines";"I";"L";"-";;;
"75237";"8648";"FR8301070";"J02.06";"Captages des eaux de surface";"I";"L";"-";;;
"75238";"8648";"FR8301070";"J02.01";"Comblement et assèchement";"I";"M";"-";;;
"75239";"8648";"FR8301070";"A02.03";"Retournement de prairies";"I";"H";"-";;;
"75240";"8649";"FR8301072";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"M";"-";;;
"75241";"8649";"FR8301072";"A03";"Fauche de prairies";"I";"L";"+";;;
"75242";"8649";"FR8301072";"A04";"Pâturage";"I";"H";"+";;;
"75243";"8649";"FR8301072";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"I";"L";"-";;;
"75244";"8649";"FR8301072";"A08";"Fertilisation";"I";"H";"-";;;
"75245";"8649";"FR8301072";"A08";"Fertilisation";"O";"M";"-";;;
"75246";"8649";"FR8301072";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"L";"-";;;
"75247";"8649";"FR8301072";"F03.01";"Chasse";"I";"L";"x";;;
"75248";"8650";"FR8301079";"A04";"Pâturage";"I";"L";"-";;;
"75249";"8650";"FR8301079";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"75250";"8650";"FR8301079";"B01";"Plantation forestière en milieu ouvert";"I";"M";"-";;;
"75251";"8651";"FR8301083";"A04";"Pâturage";"I";"H";"+";;;
"75252";"8651";"FR8301083";"A08";"Fertilisation";"I";"L";"-";;;
"75253";"8651";"FR8301083";"B";"Sylviculture et opérations forestières";"I";"L";"x";;;
"75254";"8651";"FR8301083";"F03.01";"Chasse";"I";"L";"x";;;
"75255";"8651";"FR8301083";"G05";"Autres intrusions et perturbations humaines";"I";"M";"x";;;
"75256";"8651";"FR8301083";"K03.05";"Antagonisme avec des espèces introduites";"I";"L";"-";;;
"75257";"8652";"FR8302005";"B";"Sylviculture et opérations forestières";"I";"H";"x";;;
"75258";"8652";"FR8302005";"E01";"Zones urbanisées, habitations";"I";"H";"-";;;
"75259";"8652";"FR8302005";"E02";"Zones industrielles ou commerciales";"I";"H";"-";;;
"75260";"8652";"FR8302005";"A10";"Remembrement agricole";"I";"M";"-";;;
"75261";"8652";"FR8302005";"E06";"Autres activités d'urbanisation, industrielles ou similaires";"I";"H";"-";;;
"75262";"8652";"FR8302005";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"H";"-";;;
"75263";"8652";"FR8302005";"I01";"Espèces exotiques envahissantes";"I";"H";"-";;;
"75264";"8652";"FR8302005";"B03";"Exploitation forestière sans reboisement ou régénération naturelle";"I";"M";"-";;;
"75265";"8652";"FR8302005";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"L";"-";;;
"75266";"8652";"FR8302005";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"L";"-";;;
"75267";"8652";"FR8302005";"D01";"Routes, sentiers et voies ferrées";"I";"L";"-";;;
"75268";"8652";"FR8302005";"E03";"Décharges";"I";"M";"-";;;
"75269";"8653";"FR9101411";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"O";"M";"-";;;
"75270";"8653";"FR9101411";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"O";"H";"-";;;
"75271";"8653";"FR9101411";"D03.01";"Zones portuaires";"I";"L";"-";;;
"75272";"8653";"FR9101411";"D03.01";"Zones portuaires";"O";"M";"-";;;
"75273";"8653";"FR9101411";"E01";"Zones urbanisées, habitations";"O";"H";"-";;;
"75274";"8653";"FR9101411";"E02.01";"Usine";"O";"M";"-";;;
"75275";"8653";"FR9101411";"F03.01";"Chasse";"I";"L";"x";;;
"75276";"8653";"FR9101411";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"B";"H";"-";;;
"75277";"8653";"FR9101411";"J02.12";"Endigages, remblais, plages artificielles";"I";"M";"-";;;
"75278";"8653";"FR9101411";"G01.01";"Sports nautiques";"I";"M";"-";;;
"75279";"8653";"FR9101411";"F01";"Aquaculture (eau douce et marine)";"I";"H";"+";;;
"75280";"8653";"FR9101411";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"M";"-";;;
"75281";"8653";"FR9101411";"G01.03";"Véhicules motorisés";"I";"H";"-";;;
"75282";"8653";"FR9101411";"G05.01";"Piétinement, surfréquentation";"I";"H";"-";;;
"75283";"8654";"FR9101419";"C03.03";"Production d'énergie éolienne";"O";"H";"-";;;
"75284";"8654";"FR9101419";"A04";"Pâturage";"I";"M";"+";;;
"75285";"8654";"FR9101419";"G01.04";"Alpinisme, escalade, spéléologie";"I";"H";"-";;;
"75286";"8654";"FR9101419";"B03";"Exploitation forestière sans reboisement ou régénération naturelle";"B";"M";"-";;;
"75287";"8655";"FR9101431";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"H";"-";;;
"75288";"8655";"FR9101431";"A03";"Fauche de prairies";"I";"H";"+";;;
"75289";"8655";"FR9101431";"J02";"Changements des conditions hydrauliques induits par l'homme";"B";"H";"-";;;
"75290";"8655";"FR9101431";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"M";"-";;;
"2146";"1899";"FR4100246";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"O";"L";"-";;;
"2147";"1899";"FR4100246";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"O";"L";"-";;;
"2148";"1899";"FR4100246";"A04";"Pâturage";"O";"L";"+";;;
"2149";"1899";"FR4100246";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"O";"L";"-";;;
"2150";"1899";"FR4100246";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"O";"L";"-";;;
"2151";"1899";"FR4100246";"A10";"Remembrement agricole";"O";"L";"-";;;
"2152";"1899";"FR4100246";"A10.01";"Elimination des haies et bosquets ou des broussailles";"O";"L";"-";;;
"2153";"1899";"FR4100246";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"O";"L";"-";;;
"2154";"1899";"FR4100246";"B02.03";"Elimination du sous-bois";"O";"L";"x";;;
"2155";"1899";"FR4100246";"B02.04";"Elimination des arbres morts ou dépérissants";"O";"L";"-";;;
"2156";"1899";"FR4100246";"B03";"Exploitation forestière sans reboisement ou régénération naturelle";"O";"L";"-";;;
"2157";"1899";"FR4100246";"D01.02";"Routes, autoroutes";"O";"L";"-";;;
"2158";"1899";"FR4100246";"D01.04";"Voie ferrée, TGV";"O";"L";"-";;;
"2159";"1899";"FR4100246";"D02.09";"Autres formes de transport d'énergie";"O";"L";"-";;;
"2160";"1899";"FR4100246";"D04.02";"Aérodromes, héliports";"O";"L";"-";;;
"2161";"1899";"FR4100246";"E01.01";"Urbanisation continue";"I";"M";"x";;;
"2162";"1899";"FR4100246";"E01.01";"Urbanisation continue";"O";"L";"-";;;
"2163";"1899";"FR4100246";"E02";"Zones industrielles ou commerciales";"O";"L";"-";;;
"2164";"1899";"FR4100246";"E03";"Décharges";"O";"L";"-";;;
"2165";"1899";"FR4100246";"G05";"Autres intrusions et perturbations humaines";"I";"L";"-";;;
"2166";"1899";"FR4100246";"G05.04";"Vandalisme";"I";"L";"-";;;
"2167";"1899";"FR4100246";"H";"Pollution";"O";"L";"-";;;
"2168";"1899";"FR4100246";"H06.01";"Nuisance et pollution sonores";"I";"L";"-";;;
"2169";"1900";"FR4100247";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"O";"L";"-";;;
"2170";"1900";"FR4100247";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"O";"L";"-";;;
"2171";"1900";"FR4100247";"A04";"Pâturage";"O";"L";"+";;;
"2172";"1900";"FR4100247";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"O";"L";"-";;;
"2173";"1900";"FR4100247";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"O";"L";"-";;;
"2174";"1900";"FR4100247";"A10";"Remembrement agricole";"O";"L";"-";;;
"2175";"1900";"FR4100247";"A10.01";"Elimination des haies et bosquets ou des broussailles";"O";"L";"-";;;
"2176";"1900";"FR4100247";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"O";"L";"-";;;
"2177";"1900";"FR4100247";"B02.03";"Elimination du sous-bois";"O";"L";"-";;;
"2178";"1900";"FR4100247";"B02.04";"Elimination des arbres morts ou dépérissants";"O";"L";"-";;;
"2179";"1900";"FR4100247";"B03";"Exploitation forestière sans reboisement ou régénération naturelle";"O";"L";"-";;;
"2180";"1900";"FR4100247";"C01.01.01";"Carrières de sable et graviers";"I";"L";"-";;;
"2181";"1900";"FR4100247";"D01.02";"Routes, autoroutes";"O";"L";"-";;;
"2182";"1900";"FR4100247";"D01.04";"Voie ferrée, TGV";"O";"L";"-";;;
"2183";"1900";"FR4100247";"D02.09";"Autres formes de transport d'énergie";"O";"L";"-";;;
"2184";"1900";"FR4100247";"D04.02";"Aérodromes, héliports";"O";"L";"-";;;
"2185";"1900";"FR4100247";"E01.01";"Urbanisation continue";"O";"L";"-";;;
"2186";"1900";"FR4100247";"E02";"Zones industrielles ou commerciales";"O";"L";"-";;;
"2187";"1900";"FR4100247";"E03";"Décharges";"O";"L";"-";;;
"2188";"1900";"FR4100247";"G01.04";"Alpinisme, escalade, spéléologie";"I";"M";"x";;;
"2189";"1900";"FR4100247";"G05";"Autres intrusions et perturbations humaines";"I";"L";"-";;;
"2190";"1900";"FR4100247";"G05";"Autres intrusions et perturbations humaines";"I";"M";"-";;;
"2191";"1900";"FR4100247";"G05.04";"Vandalisme";"I";"L";"-";;;
"2192";"1900";"FR4100247";"H";"Pollution";"O";"L";"-";;;
"2193";"1900";"FR4100247";"L05";"Eboulements, glissements de terrain";"I";"L";"-";;;
"72533";"8455";"FR4312005";"D01.02";"Routes, autoroutes";"I";"H";"-";;;
"72534";"8455";"FR4312005";"I01";"Espèces exotiques envahissantes";"I";"M";"-";;;
"61825";"7639";"FR8201670";"A04";"Pâturage";"I";"N";"+";;;
"61826";"7639";"FR8201670";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"N";"-";;;
"61827";"7639";"FR8201670";"B";"Sylviculture et opérations forestières";"I";"N";"+";;;
"61828";"7639";"FR8201670";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"N";"-";;;
"61829";"7639";"FR8201670";"G05";"Autres intrusions et perturbations humaines";"I";"N";"x";;;
"61830";"7639";"FR8201670";"A03.03";"Abandon / Absence de fauche";"B";"H";"-";;;
"61831";"7639";"FR8201670";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"B";"H";"-";;;
"61832";"7640";"FR8201679";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"L";"-";;;
"61833";"7640";"FR8201679";"D01.02";"Routes, autoroutes";"I";"L";"-";;;
"61834";"7640";"FR8201679";"F02.03";"Pêche de loisirs";"I";"L";"x";;;
"61835";"7640";"FR8201679";"F03.01";"Chasse";"I";"M";"x";;;
"61836";"7640";"FR8201679";"G05";"Autres intrusions et perturbations humaines";"I";"L";"x";;;
"61837";"7640";"FR8201679";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"M";"-";;;
"61838";"7640";"FR8201679";"J02.12";"Endigages, remblais, plages artificielles";"I";"M";"-";;;
"61839";"7640";"FR8201679";"K03.05";"Antagonisme avec des espèces introduites";"I";"M";"-";;;
"72555";"8456";"FR4312009";"D06";"Autres formes de transport et de communication";"I";"M";"-";;;
"72556";"8456";"FR4312009";"E01";"Zones urbanisées, habitations";"I";"M";"-";;;
"72557";"8456";"FR4312009";"E01.02";"Urbanisation discontinue";"I";"M";"-";;;
"72558";"8456";"FR4312009";"E02";"Zones industrielles ou commerciales";"I";"M";"-";;;
"72559";"8456";"FR4312009";"E03.03";"Dépôts de matériaux inertes";"I";"L";"-";;;
"61845";"7642";"FR8201694";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"H";"-";;;
"61846";"7642";"FR8201694";"B";"Sylviculture et opérations forestières";"I";"M";"x";;;
"61847";"7642";"FR8201694";"G05.01";"Piétinement, surfréquentation";"I";"H";"-";;;
"61848";"7643";"FR8201695";"A04";"Pâturage";"I";"M";"x";;;
"61849";"7643";"FR8201695";"B";"Sylviculture et opérations forestières";"I";"M";"x";;;
"61850";"7643";"FR8201695";"F03.02.02";"Capture dans le nid (ex. désairage de rapaces)";"I";"H";"-";;;
"61851";"7643";"FR8201695";"G05";"Autres intrusions et perturbations humaines";"I";"M";"x";;;
"61852";"7643";"FR8201695";"G05.01";"Piétinement, surfréquentation";"I";"H";"-";;;
"61853";"7644";"FR8201698";"A04";"Pâturage";"I";"M";"x";;;
"61854";"7644";"FR8201698";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"61855";"7644";"FR8201698";"B";"Sylviculture et opérations forestières";"I";"M";"x";;;
"61856";"7644";"FR8201698";"D02.01";"Lignes électriques et téléphoniques";"I";"M";"x";;;
"61857";"7644";"FR8201698";"F02.03";"Pêche de loisirs";"I";"L";"x";;;
"61858";"7644";"FR8201698";"F03.01";"Chasse";"I";"M";"x";;;
"61859";"7644";"FR8201698";"G01.03";"Véhicules motorisés";"I";"H";"-";;;
"61860";"7644";"FR8201698";"G01.04";"Alpinisme, escalade, spéléologie";"I";"L";"x";;;
"61861";"7644";"FR8201698";"G01.06";"Ski, ski hors-piste";"I";"L";"x";;;
"61862";"7644";"FR8201698";"G05";"Autres intrusions et perturbations humaines";"I";"L";"x";;;
"61863";"7644";"FR8201698";"G05.01";"Piétinement, surfréquentation";"I";"H";"-";;;
"72535";"8455";"FR4312005";"A03";"Fauche de prairies";"I";"L";"+";;;
"72536";"8455";"FR4312005";"J02.06";"Captages des eaux de surface";"I";"L";"-";;;
"72537";"8455";"FR4312005";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"L";"-";;;
"72538";"8455";"FR4312005";"G05";"Autres intrusions et perturbations humaines";"I";"M";"-";;;
"72539";"8456";"FR4312009";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"M";"-";;;
"72540";"8456";"FR4312009";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"H";"-";;;
"72541";"8456";"FR4312009";"A03";"Fauche de prairies";"I";"H";"-";;;
"72542";"8456";"FR4312009";"A04";"Pâturage";"I";"H";"-";;;
"72543";"8456";"FR4312009";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"72544";"8456";"FR4312009";"A05.01";"Elevage";"I";"H";"-";;;
"72545";"8456";"FR4312009";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"I";"M";"-";;;
"72546";"8456";"FR4312009";"A08";"Fertilisation";"I";"H";"-";;;
"72547";"8456";"FR4312009";"A10";"Remembrement agricole";"I";"L";"-";;;
"72548";"8456";"FR4312009";"A10.01";"Elimination des haies et bosquets ou des broussailles";"I";"M";"-";;;
"72549";"8456";"FR4312009";"B";"Sylviculture et opérations forestières";"I";"M";"-";;;
"72550";"8456";"FR4312009";"B01";"Plantation forestière en milieu ouvert";"I";"M";"-";;;
"72551";"8456";"FR4312009";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"M";"-";;;
"2262";"1905";"FR4100197";"B";"Sylviculture et opérations forestières";"I";"H";"x";;;
"2263";"1905";"FR4100197";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"M";"-";;;
"2264";"1905";"FR4100197";"F03.01";"Chasse";"I";"M";"x";;;
"2265";"1905";"FR4100197";"G01.06";"Ski, ski hors-piste";"I";"M";"-";;;
"2266";"1906";"FR4100198";"B";"Sylviculture et opérations forestières";"I";"H";"+";;;
"2267";"1906";"FR4100198";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"M";"-";;;
"2268";"1906";"FR4100198";"D01.02";"Routes, autoroutes";"I";"M";"x";;;
"2269";"1906";"FR4100198";"F03.01";"Chasse";"I";"M";"x";;;
"2270";"1906";"FR4100198";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"M";"-";;;
"2271";"1906";"FR4100198";"G01.06";"Ski, ski hors-piste";"I";"M";"-";;;
"2272";"1906";"FR4100198";"G01.08";"Autres activités de plein air et de loisirs";"I";"M";"-";;;
"2273";"1906";"FR4100198";"K04.05";"Dégâts provoqués par les herbivores (gibier inclus)";"I";"H";"-";;;
"72560";"8456";"FR4312009";"F02.03";"Pêche de loisirs";"I";"M";"-";;;
"72561";"8456";"FR4312009";"F03.01";"Chasse";"I";"M";"-";;;
"72562";"8456";"FR4312009";"F03.02.02";"Capture dans le nid (ex. désairage de rapaces)";"I";"L";"-";;;
"72563";"8456";"FR4312009";"F03.02.03";"Piégeage, empoisonnement, braconnage";"I";"L";"-";;;
"72564";"8456";"FR4312009";"F04";"Prélèvements sur la flore";"I";"L";"-";;;
"72552";"8456";"FR4312009";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"M";"-";;;
"72553";"8456";"FR4312009";"D01.02";"Routes, autoroutes";"I";"M";"-";;;
"61883";"7647";"FR8201711";"A03";"Fauche de prairies";"I";"H";"+";;;
"61884";"7647";"FR8201711";"A04";"Pâturage";"I";"M";"+";;;
"61885";"7647";"FR8201711";"B";"Sylviculture et opérations forestières";"I";"L";"+";;;
"61886";"7647";"FR8201711";"F03.01";"Chasse";"I";"H";"+";;;
"61887";"7647";"FR8201711";"F04";"Prélèvements sur la flore";"I";"H";"-";;;
"61888";"7647";"FR8201711";"G01.04";"Alpinisme, escalade, spéléologie";"I";"L";"-";;;
"61889";"7647";"FR8201711";"G01.03";"Véhicules motorisés";"I";"M";"-";;;
"61890";"7648";"FR8201732";"B";"Sylviculture et opérations forestières";"I";"L";"+";;;
"61891";"7648";"FR8201732";"G05";"Autres intrusions et perturbations humaines";"I";"H";"-";;;
"61892";"7648";"FR8201732";"G05.01";"Piétinement, surfréquentation";"I";"M";"-";;;
"61893";"7648";"FR8201732";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"B";"H";"-";;;
"61894";"7648";"FR8201732";"H04";"Pollution de l'air et polluants atmosphériques";"O";"L";"-";;;
"61895";"7648";"FR8201732";"J02";"Changements des conditions hydrauliques induits par l'homme";"O";"H";"-";;;
"72565";"8456";"FR4312009";"F06";"Autres activités de chasse, de pêche ou de collecte";"I";"M";"-";;;
"72566";"8456";"FR4312009";"G01";"Sports de plein air et activités de loisirs et récréatives";"I";"H";"-";;;
"72567";"8456";"FR4312009";"G01.01";"Sports nautiques";"I";"M";"-";;;
"72568";"8456";"FR4312009";"G01.03";"Véhicules motorisés";"I";"H";"-";;;
"2958";"1970";"FR7200670";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"N";"x";;;
"2959";"1970";"FR7200670";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"N";"x";;;
"2960";"1970";"FR7200670";"F03.01";"Chasse";"I";"N";"x";;;
"72569";"8456";"FR4312009";"G01.04";"Alpinisme, escalade, spéléologie";"I";"M";"-";;;
"72570";"8456";"FR4312009";"G01.05";"Vol-à-voile, delta-plane, parapente, ballon";"I";"L";"-";;;
"72571";"8456";"FR4312009";"G01.06";"Ski, ski hors-piste";"I";"L";"-";;;
"72572";"8456";"FR4312009";"G01.08";"Autres activités de plein air et de loisirs";"I";"M";"-";;;
"72573";"8456";"FR4312009";"G02";"Structures de sports et de loisirs";"I";"L";"-";;;
"61905";"7650";"FR8201775";"G01.04";"Alpinisme, escalade, spéléologie";"I";"M";"-";;";8210";
"61906";"7650";"FR8201775";"A02.01";"Intensification agricole";"I";"M";"-";;;
"61907";"7650";"FR8201775";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"61908";"7650";"FR8201775";"B02.05";"Production forestière non intensive (en laissant les arbres morts ou dépérissants sur pied)";"I";"M";"+";;;
"61909";"7650";"FR8201775";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"L";"-";;;
"72574";"8456";"FR4312009";"G05.01";"Piétinement, surfréquentation";"I";"M";"-";;;
"72575";"8456";"FR4312009";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"H";"-";;;
"72576";"8456";"FR4312009";"I01";"Espèces exotiques envahissantes";"I";"L";"-";;;
"72577";"8456";"FR4312009";"J02";"Changements des conditions hydrauliques induits par l'homme";"I";"M";"-";;;
"72578";"8456";"FR4312009";"J02.01";"Comblement et assèchement";"I";"L";"-";;;
"72579";"8456";"FR4312009";"J02.01.03";"Comblement des fossés, digues, mares, étangs, marais ou trous";"I";"L";"-";;;
"72580";"8456";"FR4312009";"J02.06";"Captages des eaux de surface";"I";"L";"-";;;
"72581";"8456";"FR4312009";"J02.06";"Captages des eaux de surface";"I";"M";"-";;;
"72582";"8456";"FR4312009";"K02.03";"Eutrophisation (naturelle)";"I";"H";"-";;;
"72583";"8456";"FR4312009";"K03.05";"Antagonisme avec des espèces introduites";"I";"L";"-";;;
"72584";"8457";"FR4312017";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"H";"-";;;
"72585";"8457";"FR4312017";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"M";"-";;;
"72586";"8457";"FR4312017";"A03";"Fauche de prairies";"I";"H";"-";;;
"72587";"8457";"FR4312017";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"72588";"8457";"FR4312017";"A08";"Fertilisation";"I";"H";"-";;;
"72589";"8457";"FR4312017";"A09";"Irrigation";"I";"L";"-";;;
"72590";"8457";"FR4312017";"A10.01";"Elimination des haies et bosquets ou des broussailles";"I";"L";"-";;;
"72591";"8457";"FR4312017";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"M";"-";;;
"72592";"8457";"FR4312017";"B02.02";"Coupe forestière (éclaircie, coupe rase…)";"I";"L";"+";;;
"72593";"8457";"FR4312017";"B02.03";"Elimination du sous-bois";"I";"L";"-";;;
"72594";"8457";"FR4312017";"B02.04";"Elimination des arbres morts ou dépérissants";"I";"L";"-";;;
"72595";"8457";"FR4312017";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"M";"-";;;
"72596";"8457";"FR4312017";"D01.02";"Routes, autoroutes";"I";"M";"-";;;
"72597";"8457";"FR4312017";"D01.05";"Pont, viaduc";"I";"L";"-";;;
"72598";"8457";"FR4312017";"D02.01";"Lignes électriques et téléphoniques";"I";"M";"-";;;
"72599";"8457";"FR4312017";"E01.02";"Urbanisation discontinue";"I";"M";"-";;;
"72600";"8457";"FR4312017";"E01.03";"Habitations dispersées";"I";"M";"-";;;
"72601";"8457";"FR4312017";"E02.01";"Usine";"I";"L";"-";;;
"72602";"8457";"FR4312017";"E03.01";"Dépôts de déchets ménagers / liés aux installations récréatives";"I";"M";"-";;;
"72603";"8457";"FR4312017";"E03.02";"Dépôts de déchets industriels";"I";"L";"-";;;
"61940";"7652";"FR8301012";"G01.03";"Véhicules motorisés";"I";"M";"-";;;
"61941";"7652";"FR8301012";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"61942";"7652";"FR8301012";"B01";"Plantation forestière en milieu ouvert";"I";"L";"-";;;
"61943";"7652";"FR8301012";"J02.06";"Captages des eaux de surface";"I";"H";"-";;;
"61944";"7652";"FR8301012";"J03.02";"Réduction de la connectivité de l'habitat par une action anthropique (fragmentation)";"I";"M";"-";;;
"61945";"7652";"FR8301012";"A10.01";"Elimination des haies et bosquets ou des broussailles";"I";"L";"-";;;
"61946";"7652";"FR8301012";"G05.04";"Vandalisme";"I";"M";"-";;;
"61947";"7652";"FR8301012";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"M";"-";;;
"72604";"8457";"FR4312017";"E03.03";"Dépôts de matériaux inertes";"I";"M";"-";;;
"72605";"8457";"FR4312017";"F01";"Aquaculture (eau douce et marine)";"I";"M";"-";;;
"72606";"8457";"FR4312017";"F02.03";"Pêche de loisirs";"I";"M";"-";;;
"72607";"8457";"FR4312017";"F03.02.01";"Collecte d'animaux (insectes, reptiles, amphibiens, ...)";"I";"L";"-";;;
"72554";"8456";"FR4312009";"D02.01";"Lignes électriques et téléphoniques";"I";"L";"-";;;
"62143";"7666";"FR8302038";"A04.01";"Pâturage intensif";"B";"M";"-";;;
"62144";"7666";"FR8302038";"H01.05";"Pollution diffuse des eaux de surface due aux activités agricoles ou forestières";"B";"H";"-";;;
"62145";"7666";"FR8302038";"H01.08";"Pollution diffuse des eaux de surface due aux eaux ménagères et eaux usées";"B";"M";"-";;;
"62146";"7666";"FR8302038";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"B";"M";"-";;;
"62147";"7666";"FR8302038";"I01";"Espèces exotiques envahissantes";"B";"H";"-";;;
"62148";"7666";"FR8302038";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"B";"H";"-";;;
"62149";"7667";"FR9101392";"D01.05";"Pont, viaduc";"I";"L";"-";;;
"62150";"7667";"FR9101392";"G01";"Sports de plein air et activités de loisirs et récréatives";"I";"H";"-";;;
"62151";"7667";"FR9101392";"J02.07";"Captage des eaux souterraines";"I";"H";"-";;;
"62152";"7667";"FR9101392";"I01";"Espèces exotiques envahissantes";"I";"L";"-";;;
"62153";"7667";"FR9101392";"B03";"Exploitation forestière sans reboisement ou régénération naturelle";"I";"L";"-";;;
"62154";"7667";"FR9101392";"E01.02";"Urbanisation discontinue";"O";"L";"-";;;
"62155";"7667";"FR9101392";"H02";"Pollution des eaux souterraines (sources ponctuelles ou diffuses)";"I";"M";"-";;;
"72608";"8457";"FR4312017";"F03.02.03";"Piégeage, empoisonnement, braconnage";"I";"L";"-";;;
"72609";"8457";"FR4312017";"F04";"Prélèvements sur la flore";"I";"L";"-";;;
"72610";"8457";"FR4312017";"F06";"Autres activités de chasse, de pêche ou de collecte";"I";"L";"-";;;
"72611";"8457";"FR4312017";"G01.03";"Véhicules motorisés";"I";"L";"-";;;
"72612";"8457";"FR4312017";"G01.04";"Alpinisme, escalade, spéléologie";"I";"M";"-";;;
"72613";"8457";"FR4312017";"G02";"Structures de sports et de loisirs";"I";"L";"-";;;
"72614";"8457";"FR4312017";"G05.01";"Piétinement, surfréquentation";"I";"L";"-";;;
