"PK_MAP";"FPK_NATURA";"SITECODE";"SCALE";"SOURCE";"ANNEE_REF";"DETAILS"
"4418";"6226";"FR3100478";"25000";"IGN";;
"4419";"6227";"FR3100479";"25000";"IGN";;
"4420";"6228";"FR3100480";"25000";"IGN";;
"4422";"6230";"FR3100482";"25000";"IGN";;
"4423";"6231";"FR3102002";"43000";"SHOM";;
"4426";"6234";"FR4100206";"25000";"IGN";;
"4427";"6235";"FR4100208";"25000";"IGN";;
"4428";"6236";"FR4100212";"25000";"IGN";;
"4429";"6237";"FR4100239";"25000";"IGN";;
"4430";"6238";"FR4201794";"100000";"IGN";;
"4431";"6239";"FR4201795";"25000";"IGN";;
"4436";"6244";"FR4201806";"100000";"IGN";;
"4438";"6246";"FR4201811";"25000";"IGN";;
"4439";"6247";"FR4201812";"25000";"IGN";;
"4441";"6249";"FR4202001";"25000";"IGN";;
"4442";"6250";"FR4202002";"25000";"IGN";;"SCAN 25"
"4444";"6252";"FR4301313";"50000";"IGN";;
"4445";"6253";"FR4301321";"25000";"SCAN25";;
"4446";"6254";"FR4301327";"10000";"BDORTHO";;
"4448";"6256";"FR4301340";"25000";"IGN";;
"4450";"6258";"FR4301347";"50000";"IGN";;
"4473";"6281";"FR5300023";"25000";"IGN";;
"4483";"6291";"FR5300033";"25000";"IGN";;
"4506";"6314";"FR5302007";"25000";"IGN";;
"4507";"6315";"FR5302008";"50000";"SHOM";;
"4518";"6326";"FR5400462";"100000";"IGN";;
"4520";"6328";"FR5400471";"100000";"IGN";;
"4524";"6332";"FR5402002";"25000";"IGN";;
"4525";"6333";"FR5402003";"25000";"IGN";;
"4546";"6354";"FR7401108";"25000";"IGN";;
"4551";"6359";"FR7401137";"100000";"IGN";"2007";"1 carte pour vue d'ensemble au 1/100.000et 3 cartes pour vue au 1/25000 des cinq affleurements"
"4554";"6362";"FR8201633";"25000";"IGN";;
"4556";"6364";"FR8201637";"100000";"IGN";;
"4558";"6366";"FR8201644";"100000";"IGN";;
"4560";"6368";"FR8201662";"100000";"IGN";;
"4561";"6369";"FR8201667";"100000";"IGN";;
"4564";"6372";"FR8201671";"100000";"IGN";;
"4567";"6375";"FR8201678";"100000";"IGN";;
"4569";"6377";"FR8201688";"100000";"IGN";;
"4574";"6382";"FR8201702";"6000";"CADASTRE";;"Cadastre et BD Ortho."
"4577";"6385";"FR8201706";"25000";"IGN";;
"4578";"6386";"FR8201707";"25000";"IGN";;
"4581";"6389";"FR8201710";"100000";"IGN";;"projet voirons APR

thème limite APPB"
"4583";"6391";"FR8201712";"100000";"IGN";;
"4584";"6392";"FR8201715";"1000";"CADASTRE";"2012";
"4586";"6394";"FR8201719";"100000";"IGN";;
"4588";"6396";"FR8201722";"100000";"IGN";;
"4589";"6397";"FR8201723";"100000";"IGN";;
"4590";"6398";"FR8201724";"100000";"IGN";;
"4592";"6400";"FR8201728";"25000";"IGN";;
"4595";"6403";"FR8201743";"5000";"CADASTRE";;"Calage du périmètre sur les limites de parcelles cadastrales."
"4597";"6405";"FR8201755";"5000";"CADASTRE";;"Ajustement des périmètres sur le cadastre et les APPB."
"4598";"6406";"FR8201757";"100000";"IGN";;
"4600";"6408";"FR8201761";"100000";"IGN";;
"4603";"6411";"FR8201770";"25000";"IGN";;
"4606";"6414";"FR8201774";"100000";"IGN";;
"4607";"6415";"FR8201776";"100000";"IGN";;
"4610";"6418";"FR8201782";"100000";"IGN";;
"4612";"6420";"FR8201791";"25000";"IGN";;
"4613";"6421";"FR8202002";"100000";"IGN";;"SCAN EDR 25"
"4615";"6423";"FR8202005";"25000";"IGN";;
"4616";"6424";"FR8202008";"10000";"BDORTHO";;
"4617";"6425";"FR8202009";"5000";"SCAN25";;"Scan 25, BD Ortho (2008) et cadastre (2012)."
"4621";"6429";"FR8301034";"25000";"IGN";;
"4622";"6430";"FR8301035";"25000";"IGN";;
"4623";"6431";"FR8301040";"25000";"IGN";;
"4624";"6432";"FR8301044";"25000";"IGN";;
"4626";"6434";"FR8301059";"25000";"IGN";;
"4633";"6441";"FR8301080";"25000";"IGN";;"Source : Création BIOTOPE - Echelle de travail 1:25000"
"4637";"6445";"FR8301094";"25000";"AUTRE";;
"4638";"6446";"FR8301095";"25000";"AUTRE";;
"4641";"6449";"FR8302011";"25000";"IGN";;
"4643";"6451";"FR8302013";"25000";"IGN";;
"4644";"6456";"FR8302040";"25000";"BDORTHO";;
"4645";"6457";"FR9101366";"25000";"IGN";;"Surface en RGF Lambert 93 - Méthode Cartésienne"
"4646";"6458";"FR9101368";"100000";"IGN";;"Surface en RGF Lambert 93 - Méthode de calcul Cartésienne"
"4647";"6459";"FR9101379";"100000";"IGN";;"Surface en RGF Lambert 93"
"4650";"6462";"FR9102003";"25000";"IGN";;"Périmètre digitalisé (Scan 25 IGN)

Surface en projection RGF Lambert 93"
"4653";"6465";"FR9400573";"25000";"SCAN25";;
"4656";"6468";"FR9400577";"25000";"SCAN25";;
"4657";"6469";"FR9400583";"25000";"SCAN25";;
"4659";"6471";"FR9400586";"25000";"SCAN25";;
"4660";"6472";"FR9400593";"25000";"SCAN25";;
"4662";"6474";"FR9400597";"25000";"SCAN25";;
"4663";"6475";"FR9400599";"25000";"SCAN25";;
"4664";"6476";"FR9400606";"25000";"SCAN25";;
"4665";"6477";"FR9400607";"25000";"SCAN25";;
"4666";"6478";"FR9400610";"25000";"IGN";;
"4669";"6481";"FR9400618";"25000";"IGN";;
"4671";"6483";"FR9402011";"25000";"IGN";;
"4678";"6490";"FR2100284";"25000";"IGN";;
"4679";"6491";"FR2100285";"25000";"IGN";;
"4690";"6502";"FR2100338";"25000";"IGN";;
"4692";"6504";"FR2200347";"5000";"CADASTRE";;"Périmètre affiné à la parcelle"
"4693";"6505";"FR2200359";"25000";"IGN";;
"4694";"6506";"FR2200362";"100000";"IGN";;"Agrandie au 50.000ème."
"4695";"6507";"FR2200388";"50000";"IGN";;"MAP INFO

"
"4696";"6508";"FR2200396";"5000";"CADASTRE";;
"4706";"6518";"FR2400518";"25000";"IGN";;
"4707";"6519";"FR2400519";"25000";"IGN";;
"4708";"6520";"FR2400520";"25000";"IGN";;
"4709";"6521";"FR2400521";"25000";"IGN";;
"4711";"6523";"FR2400523";"25000";"IGN";;
"4712";"6524";"FR2400524";"25000";"IGN";;
"4713";"6525";"FR2400528";"25000";"IGN";;
"4714";"6526";"FR2400534";"100000";"IGN";;
"4715";"6527";"FR2400536";"25000";"IGN";;
"4717";"6529";"FR2400540";"25000";"IGN";;
"4718";"6530";"FR2400541";"25000";"IGN";;
"4719";"6531";"FR2400548";"25000";"IGN";;
"4720";"6532";"FR2400552";"25000";"IGN";;
"4721";"6533";"FR2400556";"25000";"IGN";;
"4722";"6534";"FR2400558";"25000";"IGN";;
"4723";"6535";"FR2400561";"25000";"IGN";;
"4724";"6536";"FR2400562";"25000";"IGN";;
"4725";"6537";"FR2400565";"25000";"IGN";;
"4726";"6538";"FR2402001";"100000";"IGN";;
"4727";"6539";"FR2402007";"25000";"IGN";;
"4744";"6556";"FR2502022";"500000";"SHOM";"2015";
"4745";"6557";"FR3100481";"25000";"IGN";;
"4746";"6558";"FR3102005";"75000";"SHOM";;
"4747";"6559";"FR4100196";"25000";"IGN";;
"4749";"6561";"FR4112005";"25000";"IGN";;
"4752";"6564";"FR4211790";"25000";"IGN";;
"4753";"6565";"FR4211809";"25000";"IGN";;
"4768";"6580";"FR5212006";"100000";"IGN";;
"4781";"6594";"FR7200680";"50000";"IGN";;
"4785";"6598";"FR7200687";"100000";"IGN";;
"4787";"6600";"FR7200690";"25000";"IGN";;
"4789";"6602";"FR7200699";"100000";"IGN";;
"4791";"6604";"FR7200705";"100000";"IGN";;
"4795";"6608";"FR7200719";"100000";"IGN";;
"4798";"6611";"FR7200728";"100000";"IGN";;
"4802";"6615";"FR7200741";"50000";"IGN";;
"4808";"6621";"FR7200784";"100000";"IGN";;
"4817";"6630";"FR8212032";"1000";"CADASTRE";"2012";
"4819";"6632";"FR9101380";"25000";"IGN";;"Surface en RGF Lambert 93 - Calcul avec méthode cartésienne"
"4821";"6634";"FR9101391";"25000";"SCAN25";;"Périmètre digitalisé (Scan 25 IGN)

Surface en RGF Lambert 93"
"4822";"6635";"FR9101414";"50000";"IGN";;"Surface en RGF Lambert 93"
"4827";"6640";"FR9301497";"25000";"SCAN25";;"Périmètre initial imprécis (SCAN100).

MAJ 2013 : recalage partiel sur SCAN25 sans reconsultation, conversion surface en Lamb93."
"4828";"6641";"FR9301498";"25000";"SCAN25";;"Périmètre numérisé au 1/25000 (avec IGN SCAN25). Mais carte officielle avec fond IGN SCAN100.

MAJ 2013.08 : recalage ponctuel sur limite régionale BD TOPO. Conversion surface en Lamb93."
"4832";"6645";"FR9301504";"25000";"SCAN25";;"1998 : pSIC numérisé au 1/100 000.

2013 : recalage sur SCAN25 sans reconsultation. Conversion surface en Lamb93."
"4833";"6646";"FR9301505";"25000";"SCAN25";;"Périmètre numérisé au 1/25000 (avec IGN SCAN25). Mais carte officielle avec fond IGN SCAN100.

MAJ 2013.08 : recalage ponctuel du périmètre sur limite régionale BD TOPO. Conversion surface en Lamb93."
"4834";"6647";"FR9301506";"25000";"SCAN25";;"OUI. Perimetre initial tracé sur IGN SCAN100, recalé en 2010 sur SCAN25 sans reconsultation réglementaire. Surface calculée avec MapInfo v7.0, mode cartesien, projection Lambert93. "
"4835";"6648";"FR9301511";"25000";"SCAN25";;"Périmètre numérisé au 1/25000 (IGN SCAN25). Mais carte officielle sur fond IGN SCAN100.

MAJ 2013.12 : ajustement perimetre sur limite regionale BD TOPO, pour coherence avec site tangeant cote Rhone-Alpes (surf : 35530 ha au lieu de 35604 ha, lamb93)."
"4840";"6653";"FR9301524";"25000";"SCAN25";;"1998 : périmètre initial numérisé au 1/100000 (imprécis).

MAJ 2013.08 : recalage sur SCAN25 sans reconsultation. Conversion surface en Lamb93."
"4843";"6656";"FR9301529";"25000";"SCAN25";;"Périmètre numérisé d'après fond IGN SCAN25, mais carte officielle papier établie sur fond IGN SCAN100. Surface 6396 ha Lamb2, converti en 6383 ha Lamb93 (nov 2012)."
"4848";"6661";"FR9301547";"25000";"SCAN25";;"Périmètre numérisé au 1/25000 (IGN SCAN25). Mais carte officielle sur fond IGN SCAN100. Surface 6246 ha Lamb2, convertie en 6233.14 ha Lamb93 (nov 2012)."
"4853";"6666";"FR9301560";"25000";"SCAN25";;"Périmètre numérisé sur IGN SCAN25 (en 2002). 

MAJ 2013.08 : léger recalage (frontiere BD TOPO + correction bug decalage). Conversion surface en Lamb93."
"4854";"6667";"FR9301561";"25000";"SCAN25";;"2005 : Périmètre numérisé au 1/25 000 (avec IGN SCAN25). Mais carte officielle avec fond IGN SCAN100.



2013 : conversion surface en Lamb93 (ancienne surf L2e : 6314 ha) + léger recalage du périmètre (sur BD TOPO pour limite avec Italie + correction bug "
"4855";"6668";"FR9301562";"25000";"SCAN25";;"Périmètre initial SCAN100 (surface 415 ha Lamb2). Recalé sur SCAN25 (sans reconsultation) en fev 2013 (surface 417 ha Lamb93)."
"4856";"6669";"FR9301563";"25000";"SCAN25";;"Périmètre initial SCAN 100 (surf 3950 ha Lamb2). Recalé sur SCAN25 sans reconsultation, en fev 2013 (surf 3947 ha Lamb93)."
"4857";"6670";"FR9301566";"25000";"SCAN25";;"Périmètre initial SCAN100 (surf 2475 ha Lamb2). Recalé fin 2012 sur SCAN25 (sans reconsultation, surf 2497 ha Lamb93)."
"4893";"6706";"FR9302005";"25000";"SCAN25";;"2005 : Périmètre numérisé d'après fond carto IGN SCAN25.

2013 : conversion surface en Lamb93 (ancienne surf : 1058 ha L2e). Léger recalage du périmètre (calage sur frontiere italienne selon IGN BD TOPO + correction bug décalage du périmètre 2005)."
"4897";"6710";"FR9402019";"25000";"SHOM";;
"4899";"6712";"FR9402021";"25000";"SHOM";;
"4903";"6716";"FR9412001";"25000";"IGN";;
"4909";"6721";"FR1100797";"50000";"IGN";;"Logiciel MAPINFO.

Numérisation sur fond de plan Raster SCAN25 IGN 1996"
"4911";"6723";"FR1100799";"25000";"IGN";;"Logiciel MAPINFO. Numérisation sur fond de plan Raster SCAN25 IGN 2002."
"4913";"6725";"FR1100801";"25000";"IGN";;"Logiciel MAPINFO. Numérisation sur le fond de plan raster SCAN25 IGN 1996"
"4915";"6727";"FR1100803";"25000";"IGN";;"Logiciel MAPINFO. Numérisation sur fond de plan raster SCAN25 IGN 1996"
"4916";"6728";"FR1100806";"25000";"IGN";;"Logiciel MAPINFO. Numérisation sur le fond de plan raster SCAN25 IGN 1996"
"4921";"6733";"FR1102004";"25000";"IGN";;"Logiciel MAPINFO.

Numérisation sur fond de plan Raster SCAN25 IGN 2002"
"4922";"6734";"FR1102005";"25000";"IGN";;"Logiciel MAPINFO.

Numérisation sur fond de plan Raster SCAN25 IGN 2002"
"4923";"6735";"FR1102006";"25000";"IGN";;"Logiciel MAPINFO.

Numérisation sur fond de plan Raster SCAN25 IGN 2002"
"4924";"6736";"FR1102007";"25000";"IGN";;"Logiciel MAPINFO.

Numérisation sur fond de plan Raster SCAN25 IGN 2002"
"4925";"6737";"FR1102014";"25000";"IGN";;"Logiciel MAPINFO.

Numérisation sur fond de plan Raster SCAN25 IGN 2002"
"4931";"6743";"FR2100274";"25000";"IGN";;
"4932";"6744";"FR2100276";"25000";"IGN";;
"4933";"6745";"FR2100277";"25000";"IGN";;
"4935";"6747";"FR2100298";"25000";"IGN";;
"4936";"6748";"FR2100299";"25000";"IGN";;
"4940";"6752";"FR2100336";"25000";"IGN";;
"4945";"6757";"FR2410001";"100000";"AUTRE";;
"4946";"6758";"FR2410002";"100000";"AUTRE";;
"4947";"6759";"FR2410003";"100000";"IGN";;
"4948";"6760";"FR2410004";"25000";"IGN";;
"4949";"6761";"FR2410010";"100000";"AUTRE";;
"4950";"6762";"FR2410011";"100000";"AUTRE";;
"4951";"6763";"FR2410012";"100000";"AUTRE";;
"4952";"6764";"FR2410013";"100000";"AUTRE";;
"4953";"6765";"FR2410015";"100000";"AUTRE";;
"4954";"6766";"FR2410016";"100000";"AUTRE";;
"4955";"6767";"FR2410017";"100000";"AUTRE";;
"4956";"6768";"FR2410018";"100000";"AUTRE";;
"4957";"6769";"FR2410022";"25000";"IGN";;
"4959";"6771";"FR2410024";"100000";"AUTRE";;
"4968";"6780";"FR2502009";"25000";"AUTRE";;
"4970";"6782";"FR2600970";"25000";"IGN";;
"4973";"6785";"FR2600993";"25000";"IGN";;
"4976";"6788";"FR3100509";"25000";"IGN";;
"4977";"6789";"FR4100153";"25000";"IGN";;
"4978";"6790";"FR4100154";"25000";"IGN";;
"4980";"6792";"FR4100156";"25000";"IGN";;
"4981";"6793";"FR4100159";"25000";"IGN";;
"4983";"6795";"FR4100162";"25000";"IGN";;
"4984";"6796";"FR4100163";"25000";"IGN";;
"4985";"6797";"FR4100164";"25000";"IGN";;
"4986";"6798";"FR4100165";"25000";"IGN";;
"4989";"6801";"FR4100168";"25000";"IGN";;
"4990";"6802";"FR4100169";"25000";"IGN";;
"4994";"6806";"FR4100178";"25000";"IGN";;
"4996";"6808";"FR4100180";"25000";"IGN";;
"4997";"6809";"FR4100181";"25000";"IGN";;
"4998";"6810";"FR4100182";"25000";"IGN";;
"4999";"6811";"FR4100183";"25000";"IGN";;
"5000";"6812";"FR4100185";"25000";"IGN";;
"5001";"6813";"FR4100186";"25000";"IGN";;
"5002";"6814";"FR4100188";"25000";"IGN";;
"5004";"6816";"FR4100191";"25000";"IGN";;"DIREN : Mapinfo Autorisation 70 6017"
"5005";"6817";"FR4100192";"25000";"IGN";;
"5006";"6818";"FR4100213";"25000";"IGN";;
"5007";"6819";"FR4100214";"25000";"IGN";;
"5008";"6820";"FR4100215";"25000";"IGN";;
"5009";"6821";"FR4100216";"25000";"IGN";;
"5011";"6823";"FR4100220";"25000";"IGN";;
"5012";"6824";"FR4100222";"50000";"IGN";;
"5013";"6825";"FR4100227";"25000";"IGN";;
"5014";"6826";"FR4100228";"25000";"IGN";;
"5015";"6827";"FR4100231";"25000";"IGN";;
"5017";"6829";"FR4100233";"25000";"IGN";;
"5019";"6831";"FR4100236";"25000";"IGN";;
"5020";"6832";"FR4100238";"25000";"IGN";;
"5023";"6835";"FR4100244";"25000";"IGN";;
"5024";"6836";"FR4100245";"25000";"IGN";;
"5025";"6837";"FR4102001";"25000";"IGN";;
"5031";"6843";"FR7200665";"25000";"IGN";;
"5032";"6844";"FR7200667";"100000";"IGN";;
"5033";"6845";"FR7200668";"100000";"IGN";;
"5034";"6846";"FR7200677";"100000";"IGN";;
"5036";"6848";"FR7200709";"100000";"IGN";;
"5041";"6853";"FR7200774";"100000";"IGN";;
"5042";"6854";"FR7200777";"25000";"IGN";;
"5043";"6855";"FR7200779";"50000";"IGN";;
"5053";"6865";"FR7200798";"25000";"IGN";;
"5054";"6866";"FR7200799";"25000";"IGN";;
"5055";"6867";"FR7200803";"25000";"IGN";;
"5058";"6870";"FR7200807";"25000";"IGN";;
"5059";"6871";"FR7200808";"25000";"IGN";;
"5060";"6872";"FR7200811";"100000";"SHOM";;
"5061";"6873";"FR7200812";"100000";"SHOM";;
"5064";"6876";"FR7300827";"25000";"IGN";;"Surface en Projection RGF Lambert 93 - Méthode Cartésienne"
"5065";"6877";"FR7300829";"25000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5066";"6878";"FR7300842";"100000";"IGN";;"surface en projection RGF Lambert 93 - Méthode cartésienne"
"5068";"6880";"FR7300870";"25000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5069";"6881";"FR7300871";"100000";"IGN";;"Surface en Projection RGF Lambert 93 - Méthode Cartésienne"
"5070";"6882";"FR7300874";"100000";"IGN";;"Surface en RGF Lambert 93 - Méthode Cartésienne"
"5071";"6883";"FR7300875";"25000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5072";"6884";"FR7300876";"100000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5073";"6885";"FR7300879";"25000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5074";"6886";"FR7300897";"100000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5080";"6892";"FR7300915";"25000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5082";"6894";"FR7300919";"25000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5084";"6896";"FR7300921";"100000";"IGN";;"Surface en projection RGF Lambert 93 - Calcul avec méthode cartésienne"
"5085";"6897";"FR7300925";"25000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5086";"6898";"FR7300929";"25000";"IGN";;"Surface en Projection RGF Lambert 93 - Méthode Cartésienne"
"5087";"6899";"FR7300930";"100000";"IGN";;"surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5088";"6900";"FR7300933";"25000";"IGN";;"Surface en Projection RGF Lambert 93 - Méthode Cartésienne"
"5089";"6901";"FR7300936";"100000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5090";"6902";"FR7300940";"100000";"IGN";;"Surface en RGF Lambert 93 - Méthode Cartésienne"
"5097";"6909";"FR7401111";"100000";"IGN";;
"5098";"6910";"FR7401113";"100000";"IGN";;
"5100";"6912";"FR7401125";"25000";"IGN";;
"5103";"6915";"FR7401130";"100000";"IGN";;
"5106";"6918";"FR7401135";"25000";"IGN";"2007";
"5112";"6924";"FR8201634";"100000";"IGN";;
"5117";"6929";"FR8201673";"25000";"IGN";;
"5124";"6936";"FR8201699";"100000";"IGN";;
"5125";"6937";"FR8201700";"100000";"IGN";;
"5127";"6939";"FR8201703";"25000";"IGN";;
"5129";"6941";"FR8201709";"100000";"IGN";;
"5132";"6944";"FR8201762";"25000";"IGN";;
"5134";"6946";"FR8201768";"25000";"SCAN25";;
"5137";"6949";"FR8201780";"100000";"IGN";;
"5139";"6951";"FR8301037";"25000";"IGN";;
"5142";"6954";"FR8301049";"25000";"IGN";;"Site lié avec le site FR8301038 - Val d'Allier-Alagnon sur lequel un agustement mineur a été effectué (transmis dans la base ce jour)"
"5144";"6956";"FR8302016";"25000";"IGN";;
"5147";"6959";"FR9101374";"25000";"IGN";;
"5148";"6960";"FR9101381";"50000";"IGN";;"Surface en projection RGF Lambert 93 - méthode cartésienne"
"5149";"6961";"FR9101385";"25000";"IGN";;"Périmètre digitalisé ( scan 25 IGN )

Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5151";"6963";"FR9101389";"25000";"IGN";;"Surface en projection RGF Lambert 93 (Calcul avec méthode Cartésienne)"
"5153";"6965";"FR9101399";"100000";"IGN";;"Surface en RGF Lambert 93 - Méthode Cartésienne"
"5154";"6966";"FR9101402";"25000";"IGN";;"Périmètre digitalisé (Scan 25 IGN)

Surface en projection RGF Lambert 93 (Calcul méthode Cartésienne)"
"5155";"6967";"FR9101403";"25000";"IGN";;"Surface en Projection RGF Lambert 93 - Calcul avec la méthode cartésienne"
"5156";"6968";"FR9101413";"25000";"IGN";;"- Surface en RGF Lambert 93 (méthode cartésienne)

- Calage sur le TCHv2 (au 20/04/2016)"
"5158";"6970";"FR9101427";"25000";"IGN";;"Surface en Projection RGF Lambert 93 - Méthode Cartésienne"
"5159";"6971";"FR9101428";"25000";"IGN";;"Surface en Projection RGF Lambert 93 - Méthode Cartésienne"
"5160";"6972";"FR9101429";"25000";"IGN";;"Périmètre digitalisé (Scan 25 IGN)

Surface en preojection RGF Lambert 93 (Calcul Cartésien)"
"5162";"6974";"FR9101433";"25000";"IGN";;"Surface en projection RGF Lambert 93 - Méthode Cartésienne"
"5163";"6975";"FR9101434";"25000";"IGN";;"Surface en Projection RGF Lambert 93 - Méthode Cartésienne"
"5173";"6985";"FR9101471";"25000";"IGN";;"Surface en RGF Lambert 93 (calcul Méthode Cartésienne)"
"5174";"6986";"FR9101478";"25000";"IGN";;"Surface en projection RGF Lambert 93"
"5175";"6987";"FR9101486";"25000";"IGN";;"- Périmètre digitalisé (IGN Scan25)

- Surface en projection RGF Lambert 93 (méthode Cartésienne)"
"5176";"6988";"FR9101489";"5000";"SCAN25";;"Surface en projection Lambert RGF 93"
"5177";"6989";"FR9102002";"25000";"IGN";;"Surface en projection RGF Lambert 93 Méthode de Calcul Cartésienne"
"5179";"6991";"FR9102006";"25000";"IGN";;" Périmètre digitalisé (IGN Scan25)

 Surface en Projection RGF Lambert 93"
"5181";"6993";"FR9102009";"25000";"IGN";;"Périmètre digitalisé (Scan25 IGN)

Surface en RGF Lambert 93 (Calcul Méthode Cartésienne)"
"5182";"6994";"FR9102013";"25000";"SHOM";;"- Surface en RGF Lambert 93 - Méthode Cartésienne

- Calage sur le TCHv2 (au 20/04/2016)"
"5183";"6995";"FR9102014";"25000";"SHOM";;"- Surface en RGF Lambert 93 - Méthode Cartésienne

- Calage sur le TCHv2"
"5187";"6999";"FR9400571";"100000";"IGN";;
"5188";"7000";"FR9400572";"25000";"SCAN25";;
"5189";"7001";"FR9400574";"100000";"IGN";;
"5190";"7002";"FR9400575";"25000";"IGN";;
"5191";"7003";"FR9400578";"25000";"SCAN25";;
"5192";"7004";"FR9400580";"25000";"SCAN25";;
"5193";"7005";"FR9400582";"100000";"IGN";;
"5194";"7006";"FR9400584";"25000";"SCAN25";;
"5195";"7007";"FR9400587";"100000";"IGN";;
"5196";"7008";"FR9400590";"25000";"SCAN25";;
"5197";"7009";"FR9400591";"100000";"IGN";;
"5198";"7010";"FR9400594";"25000";"SCAN25";;
"5199";"7011";"FR9400595";"25000";"SCAN25";;
"5202";"7014";"FR9400612";"25000";"IGN";;
"5203";"7015";"FR9400614";"25000";"IGN";;
"5204";"7016";"FR9400616";"25000";"IGN";;
"5206";"7018";"FR9402004";"25000";"IGN";;
"5207";"7019";"FR9402009";"25000";"IGN";;
"5210";"7022";"FR2512005";"500000";"SHOM";"2015";
"5211";"7024";"FR9412011";"25000";"SHOM";;
"5313";"7128";"FR1100795";"100000";"IGN";;"Logiciel MAPINFO

Numérisation sur le fond de plan raster SCAN25 IGN 1996"
"5314";"7129";"FR1100796";"50000";"IGN";;"Logiciel MAPINFO. Numérisation sur le fond de plan raster SCAN25 IGN 1996"
"5316";"7131";"FR2100255";"25000";"IGN";;
"5318";"7133";"FR2100258";"25000";"IGN";;
"5320";"7135";"FR2100288";"25000";"IGN";;
"5327";"7142";"FR2100323";"25000";"IGN";;
"5335";"7150";"FR2300146";"50000";"IGN";;
"5352";"7167";"FR2610006";"25000";"IGN";;"Logiciel Mapinfo. Numérisation sur le fond de plan raster SCAN 25 IGN 1996."
"5353";"7168";"FR2612001";"100000";"IGN";;
"5355";"7170";"FR2612003";"100000";"IGN";;"Logiciel Mapinfo. Numérisation sur le fond ortophotos de l' IGN."
"5356";"7171";"FR2612005";"100000";"IGN";;"Logiciel Mapinfo. Numérisation sur orthophotos IGN 2002"
"5357";"7172";"FR2612006";"100000";"IGN";;"Orthophotos IGN 2002"
"5358";"7173";"FR2612007";"250000";"IGN";;"Logiciel MAPINFO. Définition du périmètre sur fond orthophoto de l'IGN."
"5359";"7174";"FR2612009";"100000";"AUTRE";;
"5360";"7176";"FR4100230";"25000";"IGN";;
"5361";"7177";"FR4102002";"25000";"IGN";;
"5362";"7178";"FR4310027";"10000";"BDORTHO";;
"5364";"7180";"FR4312001";"100000";"IGN";;"False"
"5365";"7181";"FR4312002";"50000";"IGN";;"False"
"5366";"7182";"FR4312003";"50000";"IGN";;"False"
"5367";"7183";"FR4312004";"25000";"IGN";;
"5369";"7185";"FR4312006";"100000";"AUTRE";;
"5370";"7186";"FR4312007";"100000";"AUTRE";;
"5371";"7187";"FR4312008";"10000";"BDORTHO";;
"5373";"7189";"FR4312010";"100000";"AUTRE";;
"5374";"7190";"FR4312012";"100000";"BDORTHO";;
"5375";"7191";"FR4312013";"100000";"AUTRE";;
"5376";"7192";"FR4312014";"100000";"AUTRE";;
"5377";"7193";"FR4312015";"100000";"AUTRE";;
"5378";"7194";"FR4312016";"100000";"AUTRE";;
"5380";"7196";"FR4312018";"100000";"AUTRE";;
"5381";"7197";"FR4312019";"100000";"AUTRE";;
"5382";"7198";"FR4312020";"10000";"BDORTHO";;
"5383";"7199";"FR4312021";"50000";"SCAN25";;
"5384";"7200";"FR4312026";"25000";"BDORTHO";;
"5385";"7201";"FR4312027";"10000";"BDORTHO";;
"5386";"7202";"FR4312028";"10000";"BDORTHO";;
"5387";"7203";"FR4312029";"1/1000";"BDORTHO";;
"5391";"7207";"FR7401138";"100000";"IGN";;
"5392";"7208";"FR7401149";"50000";"IGN";;
"5395";"7211";"FR8201663";"25000";"IGN";;
"5397";"7213";"FR8201781";"10000";"CADASTRE";"2018";
"5399";"7215";"FR8210016";"100000";"IGN";;
"5400";"7216";"FR8210017";"100000";"AUTRE";;
"5401";"7217";"FR8210018";"100000";"IGN";;
"5402";"7218";"FR8210032";"100000";"IGN";;"SCAN EDR 25"
"5403";"7219";"FR8210041";"25000";"SCAN25";;
"5404";"7220";"FR8210058";"100000";"IGN";;"False"
"5405";"7221";"FR8210106";"5000";"SCAN25";"2012";"saisie : entre 1/5000 et 1/25 000ème à partir du SCAN25, BD Ortho 2008 et

cadastre 2012. "
"5406";"7222";"FR8210114";"25000";"IGN";;
"5407";"7223";"FR8212001";"25000";"IGN";;
"5408";"7224";"FR8212002";"25000";"IGN";;"SCAN EDR 25"
"5409";"7225";"FR8212003";"100000";"IGN";;
"5410";"7226";"FR8212004";"100000";"IGN";;"SCAN EDR 25"
"5411";"7227";"FR8212005";"100000";"IGN";;"SCAN EDR 25"
"5412";"7228";"FR8212006";"100000";"IGN";;"SCAN EDR 25"
