"PK_CONTACT";"FPK_NATURA";"SITECODE";"NAME";"ADDRESS";"EMAIL";"POST_NAME";"POST_CODE";"PHONE"
"11958";"6529";"FR2400540";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11959";"6529";"FR2400540";"CEN Centre-Val de Loire";"6, place Johann-Strauss";"antenne37-41@cen-centrevaldeloire.org";"Tours";"37200";
"11960";"6529";"FR2400540";"CPIE Touraine-Val de Loire";"Route de l'Abbaye";"direction@cpievaldeloire.org";"Seuilly";"37500";
"11961";"6530";"FR2400541";"Pas de gestionnaire";"-";;"-";"00000";
"11962";"6530";"FR2400541";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11963";"6531";"FR2400548";"CEN Centre-Val de Loire ";"6, place Johann-Strauss";;"Tours";"37200";
"11964";"6531";"FR2400548";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11965";"6532";"FR2400552";"Association Hommes et territoires";"10 rue Dieudonné Coste";;"Chartres";"28000";
"11966";"6532";"FR2400552";"Cen Centre val de Loire";"21 rue de Loigny la Bataille";"antenne28@cen-centrevaldeloire";"Chartres";"28000";
"11967";"6532";"FR2400552";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11968";"6533";"FR2400556";"pas de gestionnaire sur le site";"XXX";"XXX";"XXX";"000";
"11969";"6533";"FR2400556";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11970";"6534";"FR2400558";"EPIC Domaine national de Chambord";"Chateau de Chambord";;"Chambord";"41250";
"11971";"6534";"FR2400558";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11972";"6535";"FR2400561";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11973";"6535";"FR2400561";"CEN - Antenne Indre-et-Loire/Loir-et-Cher";"6, place Johann-Strauss";;"Tours";"37200";
"11974";"6536";"FR2400562";"CDPNE";"Centre Administratif Porte B 34 avenue Maunoury";;"Blois";"41000";
"11975";"6536";"FR2400562";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11976";"6537";"FR2400565";"CEN Centre-Val de Loire - Antenne Indre-et-Loire/Loir-et-Cher";"6, place Johann-Strauss";"antenne37-41@cen-centrevaldeloire.org";"Tours";"37200";
"11977";"6537";"FR2400565";;;;;;
"11978";"6537";"FR2400565";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11979";"6538";"FR2402001";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11980";"6538";"FR2402001";"CRPF d'Ile-de-France et du Centre-Val-de-Loire";"43 rue du Boeuf Saint Paterne";;"ORLEANS";"45000";
"11981";"6539";"FR2402007";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"11982";"6539";"FR2402007";"PNR Loire Anjou Touraine ";"7 rue Jehanne d’Arc";"nfo@parc-loire-anjou-touraine.fr";"Montsoreau";"49730	";
"12024";"6556";"FR2502022";"Etat - Préfecture maritime Manche mer du Nord";"BP1";;"Cherbourg Armées";"50115";
"12025";"6557";"FR3100481";"EDEN 62 (terrains du conservatoire de l'espace littoral et des rivages lacustres)";"2, rue Claude BP 113 ";;"DESVRES";"62240 ";
"12026";"6557";"FR3100481";"Office national des Forêts (ancien gestionnaire)";"24 Rue Henri Loyer";;"LILLE";"59800";
"12027";"6557";"FR3100481";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12028";"6558";"FR3102005";"Parc Naturel Marin des Estuaires Picards et de la mer d'Opale";"44 rue Folkestone";;"Boulogne-sur-Mer";"62200";
"12029";"6558";"FR3102005";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12030";"6559";"FR4100196";"Parc Naturel Régional des Ballons des Vosges et Office National des Forêts.";"1 cour de l'Abbaye";;"Munster";"68140";
"12031";"6559";"FR4100196";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12035";"6561";"FR4112005";"Le Conservatoire des Sites Lorrains sur ses terrains.



Le Centre Permanent d'Initiation à l'Environnement (CPIE) Woëvre Côtes de Meuse est opérateur sur ce site.";;;;;
"12036";"6561";"FR4112005";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12037";"6561";"FR4112005";"Communauté de Communes du Pays de Stenay et du Val Dunois";" 6 D, avenue de Verdun, ";;"Stenay";"55700 ";
"12042";"6564";"FR4211790";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12043";"6564";"FR4211790";"Communauté d’Agglomération et Ville de Haguenau";" 1 Place Charles de Gaulle,";;" Haguenau";" 67500";
"12044";"6565";"FR4211809";"Office National des Forêts";"Direction régionale Alsace - Cité administrative 14, rue du Maréchal Juin";;"STRASBOURG CEDEX ";" 67084 ";
"12045";"6565";"FR4211809";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12078";"6580";"FR5212006";"Préfecture de Maine-et-Loire ; DIREN Pays de la Loire";;;;;
"12079";"6580";"FR5212006";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12108";"6594";"FR7200680";"PAYS MEDOC";"21 rue du Général de Gaulle";;"Saint-Laurent-Médoc";"33112";
"12109";"6594";"FR7200680";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12118";"6598";"FR7200687";"AUCUN GESTIONNAIRE";"X";;"X";"0";
"12119";"6598";"FR7200687";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12122";"6600";"FR7200690";"Syndicat mixte Eaux et rivières de l'entre deux mers (SMER-E2M)";"6 rue de l'Hôpital";;"Rauzan";"33420";
"12123";"6600";"FR7200690";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12126";"6602";"FR7200699";"CEN Aquitaine";"5 allée Ronsard";;" Le Taillan Médoc";"33320";
"12127";"6602";"FR7200699";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12130";"6604";"FR7200705";"Conservatoire d'Espaces Naturels d'Aquitaine - Antenne Gironde";"5, allée Ronsard";;"LE-TAILLAN-MEDOC";"33320";
"12131";"6604";"FR7200705";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12141";"6608";"FR7200719";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12142";"6608";"FR7200719";"Syndicat Mixte de Gestion des Milieux Naturels";"Réserve Naturelle du Marais d'Orx, 1005 route du Marais";;"LABENNE";"40530";
"12148";"6611";"FR7200728";"Parc Naturel Régional Landes de Gascogne";"Maison du Parc 33 route de Bayonne";"j.fouert-pouret@parc-landes-de-gascogne.fr";"BELIN-BELIET";"33830";
"12149";"6611";"FR7200728";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12158";"6615";"FR7200741";" Albret Communauté";"La Forge - 1 rue du Moulin des Tours";;"NERAC";"47600";
"12159";"6615";"FR7200741";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12170";"6621";"FR7200784";"AUCUN GESTIONNAIRE";"X";;"X";"0";
"12171";"6621";"FR7200784";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12190";"6630";"FR8212032";"Syndicat Mixte d'Aménagement de l'Arve et de ses Abords (SM3A)";"300, chemin des prés moulins";"sm3a@riviere-arve.org";"Saint-Pierre-en-Faucigny";"74800";
"12193";"6632";"FR9101380";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12194";"6632";"FR9101380";"Syndicat Mixte Grand site Gorges du Tarn, de la Jonte et des Causses";"Mairie";"grandsite.gorgestarnjonte@orange.fr";"Sainte-Enimie";"48210";
"12197";"6634";"FR9101391";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12198";"6634";"FR9101391";"SIA Vidourle";"Immeuble Le Neuilly - 11 rue Court de Gébelin";;"NIMES";"30000";
"12199";"6635";"FR9101414";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12200";"6635";"FR9101414";"Ville d'Agde";"Hôtel de Ville - CS 20007";;"AGDE Cedex";"34306";
"12209";"6640";"FR9301497";;;;;;
"12210";"6640";"FR9301497";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12211";"6640";"FR9301497";"Animateur : commune de la Grave";"Mairie";;"LA GRAVE";"05320";
"12212";"6641";"FR9301498";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12213";"6641";"FR9301498";"Animateur N2000 : PN Ecrins";"Domaine de Charance";;"GAP";"05000";
"12221";"6645";"FR9301504";;;;;;
"12222";"6645";"FR9301504";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12223";"6645";"FR9301504";"Animateur N2000 : PNR Queyras";"Maison du Parc";;"Arvieux";"05350";
"12224";"6646";"FR9301505";"Mairie de l'Argentière-la-Bessée";"17 Avenue Charles de Gaulle";;"L'Argentière-la-Bessée";"05120 ";
"12225";"6646";"FR9301505";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12226";"6647";"FR9301506";"Parc National des Ecrins";"Domaine de Charance";;"Gap";"05000";
"12227";"6647";"FR9301506";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12228";"6648";"FR9301511";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12229";"6648";"FR9301511";"Animateur N2000 : SMIGIBA";"Grande Rue, Maison de l'Intercommunalité";;"Aspres-sur-Buech";"05140";
"12238";"6653";"FR9301524";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12239";"6653";"FR9301524";"Com Com Vallée de l'Ubaye Serre-Ponçon";"4, Av. des 3 frères Arnaud";;"Barcelonnette";"04400";
"12245";"6656";"FR9301529";"Com Com Vallée de l'Ubaye Serre-Ponçon";"4, Av. des 3 frères Arnaud";;"Barcelonnette";"04400";
"12246";"6656";"FR9301529";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12255";"6661";"FR9301547";"Opérateur local : Office National des Forêts";"1 Allée des Fontainiers";;"Digne-les-Bains";"04000";
"12256";"6661";"FR9301547";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12268";"6666";"FR9301560";;;;;;
"12269";"6666";"FR9301560";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12270";"6666";"FR9301560";"Animateur N2000 : Comm. Agglo. Riviera Française, SM du SCOT";"16, rue Villarey";;"MENTON";"06500";
"12271";"6667";"FR9301561";;;;;;
"12272";"6667";"FR9301561";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12273";"6667";"FR9301561";"Comm. Agglo Riviera Française (CARF)";" 16, rue Villarey";;"MENTON";"06500";
"12274";"6668";"FR9301562";;;;;;
"12275";"6668";"FR9301562";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12276";"6668";"FR9301562";"Opérateur : Métropole Nice Côte d Azur";"333 promenade des Anglais";;"NICE CEDEX 3";"06202";
"12277";"6669";"FR9301563";;;;;;
"12278";"6669";"FR9301563";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12279";"6669";"FR9301563";"Métropole Nice Cote d'Azur (NCA)";"333, promenade des Anglais";;"Nice cedex 4";"06200";
"12280";"6670";"FR9301566";;;;;;
"12281";"6670";"FR9301566";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12282";"6670";"FR9301566";"Com Agglo Riviera Française (CARF)";"16, rue Villarey";;"MENTON";"06500";
"12368";"6706";"FR9302005";;;;;;
"12369";"6706";"FR9302005";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12370";"6706";"FR9302005";"Comm. Agglo. Riviera Francaise (CARF)";"16, rue Villarey";;"MENTON";"06500";
"12376";"6710";"FR9402019";"Préfecture maritime de Méditerranée";"BP 912";;"Toulon";"83800";
"12378";"6712";"FR9402021";"Préfecture maritime de Méditerranée";"BP 912";;"Toulon";"83800 ";
"12387";"6716";"FR9412001";"Ministère de la Défense Nationale (Marine Nationale)";;;;;
"12388";"6716";"FR9412001";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12398";"6721";"FR1100797";"Parc Naturel Régional du Vexin Français";"Maison du Parc - Château de Théméricourt";;"THEMERICOURT";"95450";
"12399";"6721";"FR1100797";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12402";"6723";"FR1100799";"Parc naturel régional du Gâtinais français";"20 Boulevard du Maréchal Lyautey";;"Milly-la-Forêt";"91490 ";
"12403";"6723";"FR1100799";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12406";"6725";"FR1100801";"Conseil départemental de Seine-et-Marne";"Hotel du département, 12 rue des Saints Pères";;"Melun";"77010";
"12407";"6725";"FR1100801";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12412";"6727";"FR1100803";"PNR de la Haute Vallée de Chevreuse";"Maison du Parc Château de la Madeleine Chemin Jean Racine 78472 Chevreuse cedex";;"Chevreuse cedex";" 78472";
"12413";"6727";"FR1100803";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12414";"6728";"FR1100806";"Conseil départemental de l'Essonne - CENS - Direction de l'environnement";"Hôtel du département - Bd de France";;"Evry cedex";"91012";
"12415";"6728";"FR1100806";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12424";"6733";"FR1102004";"Commune de Saint Loup de Naud";"Rue Paul-Éluard";;"Saint-Loup-de-Naud ";" 77650";
"12425";"6733";"FR1102004";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12426";"6734";"FR1102005";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12427";"6734";"FR1102005";"Communauté de communes Moret Seine et Loing";" 23 Rue du Pavé Neuf";;"Moret-sur-Loing";"77250";
"12428";"6735";"FR1102006";"Communauté de communes Pays de l'Ourcq";"2 avenue Louis Delahaye";;"OCQUERRE";"77440";
"12429";"6735";"FR1102006";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12430";"6736";"FR1102007";;;;;;
"12431";"6736";"FR1102007";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12432";"6737";"FR1102014";"Parc naturel régional du Vexin français";"Maison du Parc - Château de Théméricourt";;"THEMERICOURT";"95450";
"12433";"6737";"FR1102014";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12444";"6743";"FR2100274";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12445";"6743";"FR2100274";"CENCA";"9 rue gustave Eiffel";;"Rosières-près-Troyes";"10430";
"12446";"6744";"FR2100276";"pas d'animateur";"_";;"_";"0";
"12447";"6744";"FR2100276";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12448";"6745";"FR2100277";"pas d'animateur sur ce site";"_";;"_";"0";
"12449";"6745";"FR2100277";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12452";"6747";"FR2100298";"Communauté de communes de l'Argonne Ardennaise";"rue du chemin salé";;"Vouziers";"08400";
"12453";"6747";"FR2100298";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12454";"6748";"FR2100299";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12455";"6748";"FR2100299";"Parc Naturel Régional des Ardennes";"91 place de Launet";;"HARGNIES";"08170";
"12462";"6752";"FR2100336";"pas d'animateur";"_";;"_";"0";
"12463";"6752";"FR2100336";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12475";"6757";"FR2410001";;;;;;
"12476";"6757";"FR2410001";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12477";"6757";"FR2410001";"Cen centre Val de Loire - antenne 41";"6 place Johann-Strauss";;"Tours";"37200";
"12478";"6758";"FR2410002";;;;;;
"12479";"6758";"FR2410002";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12480";"6758";"FR2410002";"Association Hommes et Territoires";"Cité de l'agriculture - 13, av. des Droits de l'Homme  ";"www.hommes-et-territoires.asso.fr";"Orléans Cedex ";"45921";
"12481";"6759";"FR2410003";;;;;;
"12482";"6759";"FR2410003";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12483";"6759";"FR2410003";"Parc Naturel régional de la Brenne";"Maison du parc";"www.parc-naturel-brenne.fr";"ROSNAY";"36300";
"12484";"6760";"FR2410004";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12485";"6760";"FR2410004";;;;;;
"12486";"6760";"FR2410004";"Pas d'animation actuellement";"-";;"-";"45000";
"12487";"6761";"FR2410010";;;;;;
"12488";"6761";"FR2410010";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12489";"6761";"FR2410010";"Communauté de communes Beauce Val de Loire";"9 rue Nationale";;"Mer";"41500";
"12490";"6762";"FR2410011";"PNR Loire-Anjou-Touraine";"7 rue Jehanne d'Arc";;"MONTSOREAU";"49730";
"12491";"6762";"FR2410011";;;;;;
"12492";"6762";"FR2410011";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12493";"6763";"FR2410012";"CEN centre-Val de Loire";"6, place Johann-Strauss";;"Tours";"37200";
"12494";"6763";"FR2410012";;;;;;
"12495";"6763";"FR2410012";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12496";"6764";"FR2410013";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12497";"6765";"FR2410015";;;;;;
"12498";"6765";"FR2410015";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12499";"6765";"FR2410015";"Conservatoire d'espaces naturels Centre-Val de Loire";"6 place Johann Strauss";;"Tours";"37200";
"12500";"6766";"FR2410016";"Pas d'animation actuellement";"-";;"-";"45000";
"12501";"6766";"FR2410016";;;;;;
"12502";"6766";"FR2410016";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12503";"6767";"FR2410017";;;;;;
"12504";"6767";"FR2410017";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12505";"6767";"FR2410017";"Cen centre Val de Loire - antenne 45";"3 rue de la Lionne";;"Orleans";"45000";
"12506";"6768";"FR2410018";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12507";"6768";"FR2410018";"Office National des Forêts (ONF) agence Val de Loire";"100 boulevard de la Salle BP22";;"Boigny sur Bionne";"45760";
"12508";"6769";"FR2410022";"Ministère de la Transition écologique - DGALN/DEB/SDET/ET5";"Tour Séquoia";"en3.en.deb.dgaln@developpement-durable.gouv.fr";"La Défense Cedex";"92055";"01.40.81.30.47"
"12509";"6769";"FR2410022";"Propriétés privées.";;;;;
