"PK_DESIGR";"FPK_NATURA";"SITECODE";"CD_MPRO";"LB_MPRO";"DES_SITE";"OVERLAP";"OVERLAP_P";"NM_SPN";"PARENT_ISO"
"14256";"6723";"FR1100799";"13";"Terrain acquis par un département";"Les grands prés";"+";"1";;"FRA"
"14257";"6723";"FR1100799";"32";"Site classé selon la loi de 1930";"Site classé de la Haute Vallée de l'Essonne";"*";"70";;"FRA"
"14258";"6723";"FR1100799";"80";"Parc naturel régional";"Gâtinais français";"-";"100";"FR8000038";"FRA"
"14259";"6725";"FR1100801";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Marais d'Episy";"+";"60";"FR3800013";"FRA"
"14260";"6725";"FR1100801";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Plaine de Sorques";"*";"16";"FR3800320";"FRA"
"14261";"6727";"FR1100803";"80";"Parc naturel régional";"Haute vallée de Chevreuse";"-";"2";"FR8000017";"FRA"
"14262";"6733";"FR1102004";"31";"Site inscrit selon la loi de 1930";"Village de Saint-Loup-de-Naud et ses environs ";"*";"85";;"FRA"
"14263";"6734";"FR1102005";"31";"Site inscrit selon la loi de 1930";"Rives du Loing";"*";"10";;"FRA"
"14264";"6734";"FR1102005";"32";"Site classé selon la loi de 1930";"Vallée du Loing";"*";"2";;"FRA"
"14265";"6737";"FR1102014";"31";"Site inscrit selon la loi de 1930";"Vexin français";"*";"100";;"FRA"
"14266";"6737";"FR1102014";"32";"Site classé selon la loi de 1930";"Vallée de l'Epte";"*";"40";;"FRA"
"14267";"6737";"FR1102014";"80";"Parc naturel régional";"Vallée de l'Epte";"*";"100";;"FRA"
"14268";"6737";"FR1102014";"87";"Abord de monument historique";"Vallée de l'Epte";"*";"1";;"FRA"
"14269";"6737";"FR1102014";"82";"Zone bénéficiant de mesures agro-environnementales";"Vallée de l'Epte";"*";"0";;"FRA"
"14270";"6737";"FR1102014";"22";"Forêt non domaniale bénéficiant du régime forestier";"Vallée de l'Epte";"*";"30";;"FRA"
"14271";"6737";"FR1102014";"17";"Zone naturelle et forestière de document d'urbanisme";"Vallée de l'Epte";"*";"29";;"FRA"
"14272";"6737";"FR1102014";"18";"Espace Classé Boisé";"Vallée de l'Epte";"*";"25";;"FRA"
"14273";"6737";"FR1102014";"N29";;"vallée de l'Epte et ses affluents";"*";"0";;
"14274";"6737";"FR1102014";"13";"Terrain acquis par un département";"Vallée de l'Epte";"*";"2";;"FRA"
"14275";"6737";"FR1102014";"N49";;"Vallée de l'Epte";"*";"2";;
"14278";"6744";"FR2100276";"36";"Réserve naturelle nationale";"Chalmessin";;"13";"FR3600114";"FRA"
"14279";"6744";"FR2100276";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Marais du plateau de Langres";;"9";"FR3800022";"FRA"
"14280";"6744";"FR2100276";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Source de la Vingeanne";;"17";"FR3800035";"FRA"
"14281";"6745";"FR2100277";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Marais du plateau de Langres";;"28";"FR3800022";"FRA"
"14288";"6752";"FR2100336";"31";"Site inscrit selon la loi de 1930";"Fontaine couverte et perte de l'Andousoir";;"100";;"FRA"
"14297";"6759";"FR2410003";"36";"Réserve naturelle nationale";"Chérine";"+";"1";"FR3600078";"FRA"
"14298";"6759";"FR2410003";"72";"Zone humide protégée par la convention de Ramsar";"Brenne";"-";"99";"FR7200008";"INT"
"14299";"6759";"FR2410003";"80";"Parc naturel régional";"Brenne";"*";"90";"FR8000008";"FRA"
"14300";"6767";"FR2410017";"36";"Réserve naturelle nationale";"ILE DE SAINT-PRYVE-SAINT-MESMIN";"+";"0";;"FRA"
"14301";"6767";"FR2410017";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"APB STERNES DU LOIRET";"+";"3";;"FRA"
"14302";"6767";"FR2410017";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Héronnière de Courpain";"*";"0";"FR3800066";"FRA"
"14303";"6767";"FR2410017";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"POINTE DE COURPIN";"+";"0";;"FRA"
"14304";"6767";"FR2410017";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"SITE DU CASTOR D'EUROPE";"+";"1";;"FRA"
"14314";"6782";"FR2600970";"32";"Site classé selon la loi de 1930";"Site classé des Rochers de Basseville à Surgy de 7 ha";"*";"1";;"FRA"
"14323";"6789";"FR4100153";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Pelouses de Chauvoncourt (29 ha SIG)";"-";"12";;"FRA"
"14324";"6789";"FR4100153";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Chauvoncourt";"-";"72";;"FRA"
"14325";"6790";"FR4100154";"15";"Terrain acquis par un conservatoire d'espaces naturels";"La BLanche Côte";"+";"30";;"FRA"
"14329";"6793";"FR4100159";"15";"Terrain acquis par un conservatoire d'espaces naturels";"pelouse de Plappeville";"+";"1";;"FRA"
"14330";"6793";"FR4100159";"22";"Forêt non domaniale bénéficiant du régime forestier";"forêts communales (syndicat du val de Metz)";"*";"5";;"FRA"
"14331";"6793";"FR4100159";"80";"Parc naturel régional";"Lorraine";"*";"28";"FR8000020";"FRA"
"14332";"6793";"FR4100159";"80";"Parc naturel régional";"Site du Mont Saint Quentin";"*";"28";;"FRA"
"14335";"6795";"FR4100162";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Pelouse de Notre-Dame-des-Gouttes 2 ha";"+";"5";;"FRA"
"14336";"6796";"FR4100163";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Côte Barine";"*";"9";;"FRA"
"14337";"6796";"FR4100163";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Salle casematée du fort";"+";"0";;"FRA"
"14338";"6796";"FR4100163";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Sur Chambleroy";"+";"1";;"FRA"
"14339";"6796";"FR4100163";"37";"Réserve naturelle volontaire";"Pelouses calcaires de Choloy-Menillot ( 0.88 ha)";"*";"1";;"FRA"
"14340";"6796";"FR4100163";"80";"Parc naturel régional";"Lorraine";"*";"40";"FR8000020";"FRA"
"14341";"6797";"FR4100164";"N72";;"Bail emphytéotique avec la commune de Lorry-Mardigny";"-";"22";;
"14342";"6797";"FR4100164";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Pelouses calcaires de Lorry-Mardigny";"-";"83";;"FRA"
"14352";"6801";"FR4100168";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Pelouses  d'Obergailbach (surface SIG : 60,31 ha)";"+";"40";;"FRA"
"14353";"6801";"FR4100168";"80";"Parc naturel régional";"Vosges du Nord";"-";"100";"FR8000029";"FRA"
"14354";"6802";"FR4100169";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Baux emphytéotiques CSL/Liocourt, Juville, Puzieux, Xocourt,";"+";"32";;"FRA"
"14355";"6802";"FR4100169";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Convention CSL/Groupement forestier du Haut du Mont";"+";"12";;"FRA"
"14356";"6802";"FR4100169";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Réserve naturelle régionale";"+";"34";;"FRA"
"14365";"6806";"FR4100178";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Pelouses de Sexey aux Forges (bail emphytéotique)";"-";"3";;"FRA"
"14366";"6806";"FR4100178";"21";"Forêt domaniale";"Forêt de Haye et de Bois l'Evêque";"*";"33";;"FRA"
"14367";"6806";"FR4100178";"22";"Forêt non domaniale bénéficiant du régime forestier";"F communale de Sexey aux Forges";"*";"10";;"FRA"
"14368";"6806";"FR4100178";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Vallon d'Arrot (367 ha dont 58.48 inclu dans site)";"*";"11";;"FRA"
"14371";"6808";"FR4100180";"21";"Forêt domaniale";"FD d'Evaux (57 ha)";"*";"13";;"FRA"
"14372";"6808";"FR4100180";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Demange-aux-Eaux";"*";"8";;"FRA"
"14373";"6808";"FR4100180";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Houdelaincourt";"*";"34";;"FRA"
"14374";"6808";"FR4100180";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Saint-Joire";"*";"14";;"FRA"
"14375";"6809";"FR4100181";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Sauvoy";;"11";;"FRA"
"14376";"6809";"FR4100181";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Vaucouleurs";;"67";;"FRA"
"14377";"6809";"FR4100181";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Villeroy-sur-Méholle";;"22";;"FRA"
"14378";"6810";"FR4100182";"21";"Forêt domaniale";"FD du Vau (337 ha)";"*";"26";;"FRA"
"14379";"6810";"FR4100182";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC Vouthon-Bas,";"*";"74";;"FRA"
"14380";"6811";"FR4100183";"21";"Forêt domaniale";"Forêt domaniale de Lisle en Barrois";"*";"48";;"FRA"
"14381";"6811";"FR4100183";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Laheycourt";"*";"40";;"FRA"
"14382";"6811";"FR4100183";"72";"Zone humide protégée par la convention de Ramsar";"Etangs de la Champagne humide";"/";"0";"FR7200004";"INT"
"14383";"6812";"FR4100185";"21";"Forêt domaniale";"Forêt de Beaulieu";"*";"90";;"FRA"
"14384";"6813";"FR4100186";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt syndicale du Dieulet";;"100";;"FRA"
"14385";"6814";"FR4100188";"29";"Réserve biologique";"Vallons de Gorze";"+";"100";;"FRA"
"14386";"6814";"FR4100188";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Cavité Robert Fey";"*";"10";"FR3800096";"FRA"
"14387";"6814";"FR4100188";"80";"Parc naturel régional";"Lorraine";"+";"100";"FR8000020";"FRA"
"14389";"6816";"FR4100191";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Bail emphytéotique ""Côte de l'Est"" à Circourt 11,4 ha";"+";"3";;"FRA"
"14390";"6816";"FR4100191";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Pompierre,Circourt, Jainvillote, Tilleux, Certilleux";"*";"60";;"FRA"
"14391";"6817";"FR4100192";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"ETANG DE PARROY";"*";"1";;"FRA"
"14392";"6819";"FR4100214";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"APB tourbière de Vittoncourt (28,53 ha)";"+";"65";;"FRA"
"14393";"6819";"FR4100214";"N36";;"Tourbière de Vittoncourt";"+";"100";;
"14394";"6821";"FR4100216";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Location du CEN Lorraine de 58 ha sur Pagny sur Meuse";"+";"35";;"FRA"
"14396";"6823";"FR4100220";"21";"Forêt domaniale";"FD d'Albestroff";"*";"15";;"FRA"
"14397";"6823";"FR4100220";"21";"Forêt domaniale";"FD de Fenetrange";"*";"43";;"FRA"
"14398";"6823";"FR4100220";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Belles-Forêts";"*";"6";;"FRA"
"14399";"6823";"FR4100220";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Aulnaie de Mittersheim";"+";"3";"FR3800094";"FRA"
"14400";"6823";"FR4100220";"80";"Parc naturel régional";"Lorraine";"*";"79";"FR8000020";"FRA"
"14401";"6824";"FR4100222";"51";"Réserve nationale de chasse et de faune sauvage";"Lac de Madine et étang de Pannes";"*";"95";"FR5100009";"FRA"
"14402";"6824";"FR4100222";"80";"Parc naturel régional";"Lorraine";"+";"100";"FR8000020";"FRA"
"14403";"6825";"FR4100227";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Baux emphytéotiques de 60 ans et +";"+";"20";;"FRA"
"14404";"6826";"FR4100228";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Les Sausselés";"+";"0";;"FRA"
"14405";"6826";"FR4100228";"80";"Parc naturel régional";"Ballons des Vosges";"*";"4";"FR8000006";"FRA"
"14406";"6827";"FR4100231";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Pré de la Salière+tourbière de Chateau-Bréhain";"-";"1";;"FRA"
"14409";"6831";"FR4100236";"80";"Parc naturel régional";"Lorraine";"*";"10";"FR8000020";"FRA"
"14410";"6832";"FR4100238";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Prairies à Maculinea nausithous d'Etival-Clairefontaine";"+";"2";;"FRA"
"14413";"6835";"FR4100244";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Marais de Francaltroff/Erstroff Léning, Eberswinkel";"+";"2";;"FRA"
"14414";"6837";"FR4102001";"80";"Parc naturel régional";"Lorraine";"*";"49";"FR8000020";"FRA"
"14443";"6843";"FR7200665";"31";"Site inscrit selon la loi de 1930";"Vallée de l'Enea";"*";"13";;"FRA"
"14444";"6843";"FR7200665";"31";"Site inscrit selon la loi de 1930";"Village de Salignac-Eyvigues";"/";"0";;"FRA"
"14445";"6843";"FR7200665";"31";"Site inscrit selon la loi de 1930";"Abords du village de Salignac-Eyvigues";"/";"0";;"FRA"
"14446";"6843";"FR7200665";"31";"Site inscrit selon la loi de 1930";"Vallée de la Dordogne (site s'étendant de Vitrac à Cazoules)";"/";"0";;"FRA"
"14447";"6843";"FR7200665";"00";"Aucune protection";"Site Natura 2000 « Coteaux calcaires de Borrèze »";"/";"0";;"FRA"
"14448";"6845";"FR7200668";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Rivière Dordogne";"/";"0";"FR3800266";"FRA"
"14449";"6845";"FR7200668";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Sites à faucon pélerin";"/";"0";"FR3800272";"FRA"
"14450";"6846";"FR7200677";"11";"Terrain acquis par le Conservatoire du Littoral";"FORET DE SUZAC";"/";"0";;"FRA"
"14451";"6846";"FR7200677";"11";"Terrain acquis par le Conservatoire du Littoral";"ILE NOUVELLE";"+";"1";"FR1100108";"FRA"
"14452";"6846";"FR7200677";"11";"Terrain acquis par le Conservatoire du Littoral";"LES COMBOTS D'ANSOINE";"/";"0";;"FRA"
"14453";"6848";"FR7200709";"80";"Parc naturel régional";"Landes de Gascogne";"-";"100";"FR8000018";"FRA"
"14454";"6867";"FR7200803";"31";"Site inscrit selon la loi de 1930";"Château, parc et abords (VAYRES)";"*";;;"FRA"
"14457";"6877";"FR7300829";"21";"Forêt domaniale";"FD DE NIAUX";;"5";;"FRA"
"14458";"6877";"FR7300829";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"QUIES CALCAIRES DE TARASCON  ET GROTTE DE LA PETITE CAOUGNO";"+";"18";;"FRA"
"14459";"6878";"FR7300842";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Grotte de l'Herm";"+";"0";"FR3800250";"FRA"
"14461";"6880";"FR7300870";"13";"Terrain acquis par un département";"Tourbière de la Plaine des Rauzes";;"3";;"FRA"
"14462";"6880";"FR7300870";"80";"Parc naturel régional";"Grands Causses";;"60";"FR8000014";"FRA"
"14463";"6882";"FR7300874";"80";"Parc naturel régional";"Grands Causses";;"2";"FR8000014";"FRA"
"14476";"6896";"FR7300921";"33";"Parc national, zone coeur";"Pyrénées [cœur]";"*";"13";"FR3300003";"FRA"
"14477";"6896";"FR7300921";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"*";"87";"FR3400003";"FRA"
"14478";"6897";"FR7300925";"33";"Parc national, zone coeur";"Pyrénées [cœur]";"-";"100";"FR3300003";"FRA"
"14479";"6897";"FR7300925";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"/";"0";"FR3400003";"FRA"
"14480";"6898";"FR7300929";"33";"Parc national, zone coeur";"Pyrénées [cœur]";"*";"8";"FR3300003";"FRA"
"14481";"6898";"FR7300929";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"-";"92";"FR3400003";"FRA"
"14482";"6898";"FR7300929";"36";"Réserve naturelle nationale";"Néouvielle";"+";"35";"FR3600004";"FRA"
"14483";"6898";"FR7300929";"69";"Réserve Biogénétique du Conseil de l'Europe";"NEOUVIELLE";"+";"39";;"INT"
"14484";"6899";"FR7300930";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"-";"100";"FR3400003";"FRA"
"14485";"6900";"FR7300933";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale d'ASQUE";;"100";;"FRA"
"14486";"6902";"FR7300940";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de CLARENS";;"12";;"FRA"
"14518";"6909";"FR7401111";"31";"Site inscrit selon la loi de 1930";"SITE INSCRIT";"+";"48";;"FRA"
"14519";"6910";"FR7401113";"32";"Site classé selon la loi de 1930";"SITE CLASSE";"+";"100";;"FRA"
"14520";"6912";"FR7401125";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Tourbière de l'étang du Bourdeau";"+";"62";"FR3800237";"FRA"
"14523";"6915";"FR7401130";"31";"Site inscrit selon la loi de 1930";"SITE INSCRIT DES GORGES D'ANZEME";"+";"5";;"FRA"
"14525";"6918";"FR7401135";"36";"Réserve naturelle nationale";"Tourbière des Dauges";"+";"100";"FR3600144";"FRA"
"14557";"6936";"FR8201699";"31";"Site inscrit selon la loi de 1930";"GORGES DE LA DIOSAZ";"*";"1";;"FRA"
"14558";"6936";"FR8201699";"32";"Site classé selon la loi de 1930";"BALCON DU MONT BLANC";"*";"5";;"FRA"
"14559";"6936";"FR8201699";"36";"Réserve naturelle nationale";"Aiguilles Rouges";"+";"35";"FR3600018";"FRA"
"14560";"6936";"FR8201699";"36";"Réserve naturelle nationale";"Carlaveyron";"+";"7";"FR3600103";"FRA"
"14561";"6936";"FR8201699";"36";"Réserve naturelle nationale";"Vallon de Bérard";"+";"6";"FR3600107";"FRA"
"14562";"6936";"FR8201699";"69";"Réserve Biogénétique du Conseil de l'Europe";"AIGUILLES ROUGES";"+";"36";;"INT"
"14563";"6936";"FR8201699";"69";"Réserve Biogénétique du Conseil de l'Europe";"PASSY";"/";"0";;"INT"
"14564";"6936";"FR8201699";"69";"Réserve Biogénétique du Conseil de l'Europe";"SIXT PASSY";"/";"0";;"INT"
"14565";"6937";"FR8201700";"31";"Site inscrit selon la loi de 1930";"DESERT DE PLATÉ, COL D'ANTERNE ET HAUTE VALLÉE DU GIFFRE";"*";"49";;"FRA"
"14566";"6937";"FR8201700";"32";"Site classé selon la loi de 1930";"CIRQUE DU FER A CHEVAL ET FOND DE LA COMBE";"*";"22";;"FRA"
"14567";"6937";"FR8201700";"32";"Site classé selon la loi de 1930";"DÉSERT DE PLATÉ, AIGUILLES DE WARENS ET MONTAGNE DE VÉRAN";"*";"6";;"FRA"
"14568";"6937";"FR8201700";"36";"Réserve naturelle nationale";"Passy";"+";"14";"FR3600050";"FRA"
"14569";"6937";"FR8201700";"36";"Réserve naturelle nationale";"Sixt-Passy";"+";"74";"FR3600035";"FRA"
"14570";"6937";"FR8201700";"69";"Réserve Biogénétique du Conseil de l'Europe";"AIGUILLES ROUGES";"/";"0";;"INT"
"14571";"6937";"FR8201700";"69";"Réserve Biogénétique du Conseil de l'Europe";"PASSY";"+";"14";;"INT"
"14572";"6937";"FR8201700";"69";"Réserve Biogénétique du Conseil de l'Europe";"SIXT PASSY";"+";"74";;"INT"
"14573";"6939";"FR8201703";"31";"Site inscrit selon la loi de 1930";"Site inscrit ""Vallée du Cruet""";"*";"4";;"FRA"
"14574";"6939";"FR8201703";"80";"Parc naturel régional";"Massif des Bauges";"*";"1";"FR8000031";"FRA"
"14577";"6941";"FR8201709";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Cornettes de Bise";"=";"100";"FR3800220";"FRA"
"14581";"6944";"FR8201762";"80";"Parc naturel régional";"Pilat";"*";"87";"FR8000027";"FRA"
"14592";"6949";"FR8201780";"32";"Site classé selon la loi de 1930";"CIRQUE DES EVETTES ET SES ABORDS (site classé)";"*";"9";;"FRA"
"14593";"6949";"FR8201780";"33";"Parc national, zone coeur";"Vanoise [cœur]";"*";"20";"FR3300001";"FRA"
"14594";"6949";"FR8201780";"36";"Réserve naturelle nationale";"Grande Sassière";"*";"19";"FR3600007";"FRA"
"14595";"6949";"FR8201780";"36";"Réserve naturelle nationale";"La Bailletaz";"*";"11";"FR3600150";"FRA"
"14596";"6949";"FR8201780";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Montcenis et vallon de Savine";"*";"6";"FR3800208";"FRA"
"14597";"6949";"FR8201780";"69";"Réserve Biogénétique du Conseil de l'Europe";"GRANDE SASSIERE";"+";"10";;"INT"
"14598";"6949";"FR8201780";"32";"Site classé selon la loi de 1930";"Vallon du Clou";"*";"13";;"FRA"
"14607";"6956";"FR8302016";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Parc Naturel Régional desvolcans d'Auvergne ";"-";"100";;"FRA"
"14608";"6956";"FR8302016";"80";"Parc naturel régional";"Maison SNCF Gîte d'Antérieux";"-";"50";;"FRA"
"14610";"6960";"FR9101381";"31";"Site inscrit selon la loi de 1930";"Château de Ro";"+";"1";;"FRA"
"14611";"6960";"FR9101381";"31";"Site inscrit selon la loi de 1930";"Gorges de la Dourbie";"*";"2";;"FRA"
"14612";"6960";"FR9101381";"34";"Parc national, aire d'adhésion";"Cévennes [aire d'adhésion]";"*";"85";"FR3400004";"FRA"
"14613";"6961";"FR9101385";"31";"Site inscrit selon la loi de 1930";"Abords du cirque de Navacelle et des gorges de la Vis";"*";"2";;"FRA"
"14615";"6963";"FR9101389";"32";"Site classé selon la loi de 1930";"site classé du Pic Saint Loup";"*";"60";;"FRA"
"14616";"6963";"FR9101389";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"L'Hortus";"*";"10";"FR3800376";"FRA"
"14618";"6965";"FR9101399";"31";"Site inscrit selon la loi de 1930";"(plusieurs sites inscrits de petite taille)";;"1";;"FRA"
"14619";"6966";"FR9101402";"31";"Site inscrit selon la loi de 1930";"Château de La Capelle et ses abords";"*";"40";;"FRA"
"14622";"6970";"FR9101427";"80";"Parc naturel régional";"Haut Languedoc";"-";"100";"FR8000016";"FRA"
"14623";"6971";"FR9101428";"21";"Forêt domaniale";"FD des Avant-Monts";"*";"42";;"FRA"
"14624";"6971";"FR9101428";"80";"Parc naturel régional";"Haut Languedoc";"-";"100";"FR8000016";"FRA"
"14625";"6972";"FR9101429";"80";"Parc naturel régional";"Haut Languedoc";"-";"100";"FR8000016";"FRA"
"14626";"6975";"FR9101434";"11";"Terrain acquis par le Conservatoire du Littoral";"LES ORPELLIERES";"=";"100";"FR1100280";"FRA"
"14644";"6985";"FR9101471";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Rivières la Carança, la Tet et de Maureillas";"*";"0";"FR3800173";"FRA"
"14645";"6985";"FR9101471";"51";"Réserve nationale de chasse et de faune sauvage";"Orlu";"/";"0";"FR5100004";"FRA"
"14646";"6987";"FR9101486";"31";"Site inscrit selon la loi de 1930";"L'Hérault, le canal du Midi et le canalet";"*";"5";;"FRA"
"14647";"6987";"FR9101486";"32";"Site classé selon la loi de 1930";"le canal du Midi";"*";"3";;"FRA"
"14648";"6987";"FR9101486";"71";"Zone de la Convention du Patrimoine Mondial (UNESCO)";"Le canal du Midi";"*";"3";;"INT"
"14649";"6988";"FR9101489";"31";"Site inscrit selon la loi de 1930";"plusieurs sites inscrits";"*";"1";;"FRA"
"14650";"6989";"FR9102002";"31";"Site inscrit selon la loi de 1930";"SI des abords du Fort Saint Pierre";"+";"30";;"FRA"
"14654";"6991";"FR9102006";"80";"Parc naturel régional";"Haut Languedoc";"-";"100";"FR8000016";"FRA"
"14663";"6993";"FR9102009";"21";"Forêt domaniale";"FORET DOMANIALE DU CONFLENT";"-";"100";;"FRA"
"14664";"6993";"FR9102009";"80";"Parc naturel régional";"Pyrénées catalanes";"-";"100";"FR8000044";"FRA"
"14671";"6999";"FR9400571";"36";"Réserve naturelle nationale";"Etang de Biguglia";"=";"100";;"FRA"
"14672";"6999";"FR9400571";"72";"Zone humide protégée par la convention de Ramsar";"Etang de Biguglia";"=";"100";"FR7200002";"INT"
"14673";"7000";"FR9400572";"11";"Terrain acquis par le Conservatoire du Littoral";"MUCCHIATANA";"+";"50";"FR1100056";"FRA"
"14674";"7001";"FR9400574";"11";"Terrain acquis par le Conservatoire du Littoral";"Bussaja";"+";;;"FRA"
"14675";"7001";"FR9400574";"11";"Terrain acquis par le Conservatoire du Littoral";"Capo Rosso, Baie de lancisa";"+";;;"FRA"
"14676";"7001";"FR9400574";"11";"Terrain acquis par le Conservatoire du Littoral";"Caspiu";"+";;;"FRA"
"14677";"7001";"FR9400574";"11";"Terrain acquis par le Conservatoire du Littoral";"Pointe de Revellata";"+";;;"FRA"
"14678";"7001";"FR9400574";"11";"Terrain acquis par le Conservatoire du Littoral";"Pointe Dorchino";"+";;;"FRA"
"14679";"7001";"FR9400574";"11";"Terrain acquis par le Conservatoire du Littoral";"Punta Bianca";"+";;;"FRA"
"14680";"7001";"FR9400574";"11";"Terrain acquis par le Conservatoire du Littoral";"SCANDULA";"+";;"FR1100057";"FRA"
"14681";"7001";"FR9400574";"11";"Terrain acquis par le Conservatoire du Littoral";"vallée du Fango";"/";;;"FRA"
"14682";"7001";"FR9400574";"36";"Réserve naturelle nationale";"Scandola";"+";"3";;"FRA"
"14683";"7001";"FR9400574";"69";"Réserve Biogénétique du Conseil de l'Europe";"Scandola";"+";"3";;"INT"
"14684";"7001";"FR9400574";"71";"Zone de la Convention du Patrimoine Mondial (UNESCO)";"Golfe de Porto";;"50";;"INT"
"14685";"7001";"FR9400574";"78";"Diplôme européen";"Réserve de Scandola";;"3";;"INT"
"14686";"7001";"FR9400574";"80";"Parc naturel régional";"Corse";"*";"34";"FR8000012";"FRA"
"14687";"7003";"FR9400578";"80";"Parc naturel régional";"Corse";"-";"100";"FR8000012";"FRA"
"14688";"7004";"FR9400580";"11";"Terrain acquis par le Conservatoire du Littoral";"PINIA";"+";"56";"FR1100054";"FRA"
"14689";"7005";"FR9400582";"80";"Parc naturel régional";"Corse";"-";"100";"FR8000012";"FRA"
"14690";"7006";"FR9400584";"11";"Terrain acquis par le Conservatoire du Littoral";"Misseranton-lavu Santu";"*";"61";;"FRA"
"14691";"7007";"FR9400587";"11";"Terrain acquis par le Conservatoire du Littoral";"PALUMBAGGIA";"+";;"FR1100080";"FRA"
"14692";"7007";"FR9400587";"11";"Terrain acquis par le Conservatoire du Littoral";"TAMARICCIU";"+";;"FR1100079";"FRA"
"14693";"7007";"FR9400587";"36";"Réserve naturelle nationale";"Iles Cerbicale";"*";"78";;"FRA"
"14694";"7009";"FR9400591";"36";"Réserve naturelle nationale";"Iles Lavezzi";"*";"85";;"FRA"
"14698";"7015";"FR9400614";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Galerie de Furiani Paterno";"*";;"FR3800387";"FRA"
"14899";"7167";"FR2610006";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Préty, Lacrost, La Truchère, Ratenelle";;"11";;"FRA"
"14900";"7167";"FR2610006";"36";"Réserve naturelle nationale";"VAL DE SAONE : LA TRUCHERE";;"3";;"FRA"
