"PK_HABIT1_DECL";"FPK_NATURA";"SITECODE";"FPK_HABIT1";"CODE";"LB_HAB_FR";"COVER";"AREA";"CONSERVE";"CONSERVE_METHODE";"COMMENTAIRE"
"35086";"6869";"FR7200806";"17416";"9190-1";"Chênaies pédonculées à Molinie bleue";"0,03";"1,83";"C";;
"35087";"6869";"FR7200806";"5364";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"5,04";"329,34";"A";;
"35088";"6869";"FR7200806";"17409";"3150-1";"Plans d’eau eutrophes avec végétation enracinée avec ou sans feuilles flottantes";"0";;"C";;
"35089";"6869";"FR7200806";"17409";"3150-3";"Plans d’eau eutrophes avec dominance de macrophytes libres flottant à la surface de l'eau";"0";;"C";;
"35090";"6869";"FR7200806";"17413";"6430-1";"Mégaphorbiaies mésotrophes collinéennes";"0";;"B";;
"35091";"6869";"FR7200806";"17413";"6430-3";"Mégaphorbiaies à Pétasite hybride";"0";;;;"Erreur de saisie, habitat élémentaire à supprimer"
"35092";"6869";"FR7200806";"17407";"3110-1";"Eaux stagnantes à végétation vivace oligotrophique planitiaire à collinéenne des régions atlantiques, des Littorelletea uniflorae";"0";"0,2";"C";;
"35093";"6869";"FR7200806";"17408";"3130-5";"Communautés annuelles oligotrophiques à mésotrophiques, acidiphiles, de niveau topographique moyen, planitiaires à montagnardes, des Isoeto-Juncetea";"0";"0,19";"B";;
"35126";"6937";"FR8201700";"11069";"9410-1";"Pessières à Doradille de lapiaz ou éboulis calcaires";"7,25";"900";"B";;
"35127";"6937";"FR8201700";"11070";"6170-6";"Pelouses arcto-alpines des crêtes ventées, neutro-basophiles et cryophiles, des Alpes et des Pyrénées";"6";"744,54";"A";;
"35128";"6937";"FR8201700";"11070";"6170-7";"Pelouses calcicoles orophiles méso-xérophiles des Alpes sur sols peu évolués";"6";"744,54";"A";;
"35129";"6937";"FR8201700";"11070";"6170-9";"Pelouses calcicoles orophiles méso-xérophiles des Alpes sur lithosols";"6";"744,54";"A";;
"35130";"6937";"FR8201700";"11070";"6170-11";"Pelouses calcicoles orophiles méso-xérophiles du Jura et des Alpes sur sols décalcifiés en surface";"6";"744,54";"A";;
"35131";"6937";"FR8201700";"17626";"8160-3";"Éboulis calcaires collinéens à montagnards ombragés, de la moitié est de la France";"0,03";"3,72";"B";;
"35132";"6937";"FR8201700";"11070";"6170-1";"Pelouses calcicoles orophiles méso-hygrophiles des Alpes";"8,71";"1080,82";"A";;
"35133";"6937";"FR8201700";"11073";"8220-1";"Falaises siliceuses montagnardes à nivales des Alpes";"0,31";"38,47";"A";;
"35134";"6937";"FR8201700";"11058";"4060-4";"Landes subalpines acidiphiles hautes à Rhododendron ferrugineux";"1,18";"146,43";"A";;
"35135";"6937";"FR8201700";"11058";"4060-6";"Landes subalpines secondaires d'adret des Alpes et des Pyrénées à genévrier nain";"1,18";"146,43";"A";;
"35136";"6937";"FR8201700";"17623";"6520-4";"Prairies fauchées montagnardes et subalpines des Alpes et du Jura";"0,95";"117,89";"C";;
"35137";"6937";"FR8201700";"11061";"7230-1";"Végétation des bas-marais neutro-alcalins";"0,14";"17,37";"B";;
"35138";"6937";"FR8201700";"11060";"7240-1";"Groupement pionniers des bords de torrents alpins";"1,45";"179,93";"A";;
"35139";"6937";"FR8201700";"11071";"3220-1";"Végétations ripicoles herbacées des étages subalpin et montagnard des Alpes";"0,09";"10,81";"A";;
"35140";"6937";"FR8201700";"11059";"6430-8";"Mégaphorbiaies montagnardes et subalpines des Alpes, du Jura, des Vosges et du Massif central";"0,13";"16,13";"A";;
"35141";"6937";"FR8201700";"11064";"8210-12";"Falaises calcaires subalpines à alpines, des Alpes";"8,1";"1005,13";"A";;
"35142";"6937";"FR8201700";"11064";"8210-17";"Falaises calcaires montagnardes à subalpines riches en mousses et en fougères, des Alpes et du Jura";"8,1";"1005,13";"A";;
"35143";"6937";"FR8201700";"17627";"9130-9";"Hêtraies, hêtraies-sapinières calciclines à Orge d’Europe";"2,64";"327,6";"B";;
"35144";"6937";"FR8201700";"17627";"9130-12";"Sapinières-hêtraies à Dentaire pennée";"2,64";"327,6";"B";;
"35145";"6937";"FR8201700";"17629";"9180-4";"Érablaies à Scolopendre et Lunaire des pentes froides à éboulis grossiers";"0,23";"28,54";"B";;
"35146";"6937";"FR8201700";"17629";"9180-7";"Érablaies à Alisier blanc du montagnard supérieur et du subalpin";"0,24";"29,78";"B";;
"35147";"6937";"FR8201700";"11069";"9410-3";"Pessières subalpines mésophiles à Homogyne alpine";"7,18";"890,8";"B";;
"35182";"6959";"FR9101374";"18143";"6110-1";"Pelouses pionnières des dalles calcaires planitiaires et collinéennes";"0,11";"0,66";"A";;
"35183";"6959";"FR9101374";"3257";"8310-1";"Grottes à chauves-souris";"0";"0,03";"A";;
"35184";"6959";"FR9101374";"3257";"8310-4";"Rivières souterraines, zones noyées, nappes phréatiques";"0";"0,02";"A";;
"35185";"6959";"FR9101374";"18142";"5130-2";"Junipéraies secondaires planitiaires à montagnardes à genévrier commun";"0,19";"1,1";;;
"35186";"6959";"FR9101374";"18146";"7220-1";"Communautés des sources et suintements carbonatés";"0,05";"0,3";;;
"35187";"6959";"FR9101374";"18148";"9150-8";"Hêtraies, hêtraies-sapinières montagnardes à Buis";"1,18";"6,8";"A";;
"35194";"6968";"FR9101413";"3559";"1110-6";"Sables fins bien calibrés (Méditerranée)";"45,12";"501,47";"B";;
"35195";"6968";"FR9101413";"3560";"1210-3";"Laisses de mer des côtes méditerranéennes";"0,97";"108,3";"C";;"Actuellement nous précisons qu'il s'agit du 1210-3, et laissons les critères état de conservation qui étaient présents à l'époque du 1er FSD, mais actuellement aucune information précise sur cet Habitat (en termes de surface et état de conservation)"
"35196";"6968";"FR9101413";"3559";"1110-7";"Sables grossiers et fins graviers sous influence des courants de fonds (Méditerranée)";"0,8";"89";"B";;
"35197";"6968";"FR9101413";"18096";"1170-13";"La roche infralittorale à algues photophiles (Méditerranée)";"2,61";"289,7";"C";;
"35198";"6968";"FR9101413";"18096";"1170-14";"Le Coralligène (Méditerranée)";"6,31";"701,6";"C";;
"35199";"6968";"FR9101413";"3559";"1110-5";"Sables fins de haut niveau (Méditerranée)";"4,1";"455,7";"B";;
"35200";"6976";"FR9101436";"17176";"1140-9";"Sables médiolittoraux (Méditerranée)";"0,02";"0,82";"B";;
"35201";"6976";"FR9101436";"17172";"1110-7";"Sables grossiers et fins graviers sous influence des courants de fonds (Méditerranée)";"0,51";"27,02";"A";;
"35202";"6976";"FR9101436";"17196";"1170-14";"Le Coralligène (Méditerranée)";"1,08";"57,72";"C";;
"35203";"6976";"FR9101436";"17172";"1110-6";"Sables fins bien calibrés (Méditerranée)";"52,9";"2822,4";"B";;
"35204";"6976";"FR9101436";"17172";"1110-5";"Sables fins de haut niveau (Méditerranée)";"2,47";"131,79";"B";;
"35205";"6979";"FR9101441";"17221";"1310-3";"Salicorniaies des prés salés méditerranéens";"0,19";"3,46";"B";;
"35206";"6979";"FR9101441";"17221";"1310-4";"Pelouses rases à petites annuelles subhalophiles";"0,21";"3,88";"B";;
"35207";"6981";"FR9101444";"18155";"8220-14";"Falaises siliceuses des Cévennes";"0,03";"6,4";"B";;
"35208";"6981";"FR9101444";"3591";"8310-1";"Grottes à chauves-souris";"0";"0";"B";;
"35209";"6981";"FR9101444";"3588";"6220-1";"Ourlets méditerranéens mésothermes à Brachypode rameux de Provence et des Alpes-Maritimes";"2,79";"608,7";"B";;
"35210";"6981";"FR9101444";"3589";"8130-22";"Éboulis calcaires mésoméditerranéens et supraméditerranéens à éléments moyens, du Midi";"0,01";"2,2";"B";;
"35211";"6981";"FR9101444";"18156";"8230-4";"Pelouses pionnières continentales et subatlantiques des dalles siliceuses sèches et chaudes";"0,24";"52,2";"A";;
"35212";"6982";"FR9101446";"18176";"9120-2";"Hêtraies-chênaies collinéennes à Houx";"1,86";"177,5";"C";;
"35213";"6982";"FR9101446";"18177";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"0,04";"4,02";"C";;
"35214";"6982";"FR9101446";"18177";"91E0-11";"Aulnaies à hautes herbes";"0,01";"0,62";"C";;
"35215";"6982";"FR9101446";"18171";"6510-2";"Prairies fauchées méso-hygrophiles méditerranéennes";"0,46";"43,7";"B";;
"35216";"6982";"FR9101446";"18173";"6410-6";"Prés humides et bas-marais acidiphiles atlantiques";"0,11";"10,7";"C";;
"35217";"6982";"FR9101446";"18171";"6510-3";"Prairies fauchées mésophiles à méso-xérophiles thermo-atlantiques";"6,64";"634,31";"B";;
"35218";"6982";"FR9101446";"18173";"6410-4";"Pelouses hygrophiles paratourbeuses thermophiles subméditerranéennes";"0,02";"1,7";"C";;
"35219";"6982";"FR9101446";"18173";"6410-9";"Moliniaies hygrophiles acidiphiles atlantiques";"0,01";"1,35";"C";;
"35220";"6982";"FR9101446";"18174";"3170-1";"Mares temporaires méditerranéennes à Isoètes (Isoetion)";"0";"0,07";"A";;
"35221";"6982";"FR9101446";"18178";"6220-1";"Ourlets méditerranéens mésothermes à Brachypode rameux de Provence et des Alpes-Maritimes";"0,3";"29,09";"C";;
"35222";"6982";"FR9101446";"18178";"6220-2";"Pelouses à thérophytes méditerranéennes mésothermes";"0,11";"10,54";"C";;
"35231";"6994";"FR9102013";"488";"1110-5";"Sables fins de haut niveau (Méditerranée)";"10,8";"937,6";"B";;
"35232";"6994";"FR9102013";"488";"1110-6";"Sables fins bien calibrés (Méditerranée)";"82,09";"7123,8";"A";;
"35233";"6994";"FR9102013";"488";"1110-7";"Sables grossiers et fins graviers sous influence des courants de fonds (Méditerranée)";"4,83";"419,4";"B";;
"35234";"6994";"FR9102013";"489";"1140-9";"Sables médiolittoraux (Méditerranée)";"0,05";"4,77";"C";;
"35235";"6995";"FR9102014";"490";"1110-5";"Sables fins de haut niveau (Méditerranée)";"4,02";"357,25";"B";;
"35236";"6995";"FR9102014";"490";"1110-6";"Sables fins bien calibrés (Méditerranée)";"94,57";"8413,35";"B";;
"35237";"6995";"FR9102014";"18081";"1140-9";"Sables médiolittoraux (Méditerranée)";"0,26";"22,69";"B";;
"35238";"6999";"FR9400571";"4268";"1210-3";"Laisses de mer des côtes méditerranéennes";"0";"0,05";"C";;
"35239";"6999";"FR9400571";"4259";"1150-2";"Lagunes méditerranéennes";"68,77";"1360,3";"B";;
"35240";"6999";"FR9400571";"4265";"92D0-3";"Galeries riveraines à Tamaris";"1,14";"22,6";"B";;
"35241";"6999";"FR9400571";"4266";"9330-3";"Suberaies corses";"0,11";"2,21";"C";;
"35242";"7000";"FR9400572";"4319";"92D0-3";"Galeries riveraines à Tamaris";"2,4";"6,35";;;
"35243";"7000";"FR9400572";"4317";"1210-3";"Laisses de mer des côtes méditerranéennes";"1,78";"4,72";"B";;
"35244";"7000";"FR9400572";"16591";"1150-2";"Lagunes méditerranéennes";"2,7";"7,16";"B";;
"35245";"7000";"FR9400572";"16593";"1420-2";"Fourrés halophiles méditerranéens";"0,31";"0,82";"C";;
"35246";"7000";"FR9400572";"16592";"1410-2";"Prés salés méditerranéens des hauts niveaux";"2,97";"7,86";"B";;
"35247";"7000";"FR9400572";"16595";"2120-2";"Dunes mobiles à Ammophila arenaria subsp. australis des côtes méditerranéennes";"0,07";"0,18";"C";;
"35248";"7000";"FR9400572";"4318";"2210-1";"Dunes fixées du littoral méditerranéen du Crucianellion maritimae";"1,74";"4,62";"B";;
"35249";"7000";"FR9400572";"4320";"2230-1";"Pelouses dunales des Malcolmietalia";"1,15";"3,04";"C";;
"35250";"7000";"FR9400572";"4321";"2250-1";"Fourrés à genévriers sur dunes";"4,08";"10,81";"B";;
"35251";"7000";"FR9400572";"4322";"2260-1";"Dunes à végétation sclérophylle des Cisto-Lavanduletalia";"11,78";"31,22";"B";;
"35252";"7000";"FR9400572";"16594";"2110-2";"Dunes mobiles embryonnaires méditerranéennes";"1,17";"3,1";"B";;
"35253";"7002";"FR9400575";"4565";"5210-1";"Junipéraies à genévrier oxycèdre";"0,02";"0,18";;;
"35254";"7002";"FR9400575";"4562";"8210-19";"Rochers calcaires alticoles de Corse";"0,06";"0,73";"B";;
"35255";"7002";"FR9400575";"4562";"8210-5";"Falaises calcaires de moyenne altitude, de Corse";"4,42";"50,56";"B";;
"35256";"7002";"FR9400575";"16596";"8220-20";"Falaises siliceuses thermophiles de Corse";"0,06";"0,73";;;
"35257";"7002";"FR9400575";"4570";"92A0-4";"Aulnaies à Aulne glutineux et Aulne à feuilles cordées de Corse";"0,57";"6,49";;;
"35258";"7002";"FR9400575";"4564";"9340-11";"Yeuseraies corses à gallet scabre";"41,3";"472,52";"C";;
"35259";"7002";"FR9400575";"4564";"9340-12";"Yeuseraies corses à Houx";"3,86";"44,12";"C";;
"35260";"7002";"FR9400575";"4568";"9540-1.6";"Peuplements supraméditerranéens de Pin maritime de Corse";"0,1";"1,16";;;
"35261";"7002";"FR9400575";"4567";"9260-4";"Châtaigneraies de la Corse";"1,7";"19,46";"C";;
"35262";"7006";"FR9400584";"16616";"2120-2";"Dunes mobiles à Ammophila arenaria subsp. australis des côtes méditerranéennes";"0";"0";;;
"35263";"7006";"FR9400584";"4440";"2110-2";"Dunes mobiles embryonnaires méditerranéennes";"1,82";"1,67";;;
"35264";"7006";"FR9400584";"16620";"3170-3";"gazons méditerranéens amphibies halonitrophiles (Heleochloion)";"0,11";"0,1";;;
"35265";"7006";"FR9400584";"16621";"6420-5";"Prairies humides hydrophiles et hygrophiles méditerranéennes de basse altitude";"2,27";"2,09";"B";;
"35266";"7006";"FR9400584";"4442";"92D0-3";"Galeries riveraines à Tamaris";"13,91";"12,8";"B";;
"35267";"7006";"FR9400584";"4437";"1210-3";"Laisses de mer des côtes méditerranéennes";"2,22";"2,04";;;
"35268";"7006";"FR9400584";"4441";"2260-1";"Dunes à végétation sclérophylle des Cisto-Lavanduletalia";"5,99";"5,51";"B";;
"35269";"7006";"FR9400584";"4439";"2210-1";"Dunes fixées du littoral méditerranéen du Crucianellion maritimae";"2,9";"2,67";"B";;
"35270";"7006";"FR9400584";"16617";"2230-1";"Pelouses dunales des Malcolmietalia";"1,43";"1,32";"C";;
"35271";"7006";"FR9400584";"4436";"1150-2";"Lagunes méditerranéennes";"1,41";"1,3";;;
"35272";"7006";"FR9400584";"16618";"2250-2";"Fourrés à genévriers sur falaises";"0,1";"0,09";"B";;
"35273";"7006";"FR9400584";"16618";"2250-1";"Fourrés à genévriers sur dunes";"0,02";"0,02";"C";;
"35274";"7006";"FR9400584";"16619";"2270-2";"Forêts dunales à Pin maritime (Pinus pinaster)";"5,01";"4,61";;;
"35275";"7006";"FR9400584";"4444";"9330-3";"Suberaies corses";"76,25";"70,15";"B";;
"35276";"7012";"FR9400601";"87";"9320-3";"Peuplements à Lentisque, Oléastre et Clématite à toupet du littoral corse";"4,9";"19,21";;;
"35277";"7012";"FR9400601";"88";"9330-3";"Suberaies corses";"4,2";"16,46";;;
"35278";"7012";"FR9400601";"84";"3290-2";"Aval des rivières méditerranéennes intermittentes";"0,3";"1,18";"C";;
"35279";"7012";"FR9400601";"85";"6420-5";"Prairies humides hydrophiles et hygrophiles méditerranéennes de basse altitude";"0,8";"3,14";"B";;
"35320";"7205";"FR7200700";"16156";"3150-4";"Rivières, canaux et fossés eutrophes des marais naturels";"1,27";"85,22";"B";;
"35321";"7205";"FR7200700";"16157";"3260-5";"Rivières eutrophes (d’aval), neutres à basiques, dominées par des Renoncules et des Potamots";"0,19";"12,88";"C";;
"35322";"7205";"FR7200700";"16158";"3270-1";"Bidention des rivières et Chenopodion rubri (hors Loire)";"1,16";"77,51";"C";;
"35323";"7205";"FR7200700";"16159";"6430-3";"Mégaphorbiaies à Pétasite hybride";"0";;"B";;
"35324";"7205";"FR7200700";"16159";"6430-4";"Mégaphorbiaies eutrophes des eaux douces";"0,92";"61,64";"B";;
"35325";"7205";"FR7200700";"16159";"6430-5";"Mégaphorbiaies oligohalines";"0,03";"2,08";"C";;
"35326";"7205";"FR7200700";"16160";"91E0-1";"Saulaies arborescentes à Saule blanc";"4,31";"288,4";"C";;
"35327";"7205";"FR7200700";"16159";"6430-6";"Végétations des lisières forestières nitrophiles, hygroclines, héliophiles à semi-héliophiles";"0,03";"1,68";"C";;
"35328";"7205";"FR7200700";"16162";"91F0-3";"Chênaies-ormaies à Frêne oxyphylle";"0,53";"35,21";"C";;
"35337";"7263";"FR9101411";"4093";"1150-2";"Lagunes méditerranéennes";"83,34";"6933,6";"B";;
"35339";"7347";"FR2502015";"17866";"91D0-1.1";"Boulaies pubescentes tourbeuses de plaine";"0,02";"1";;;
"35340";"7347";"FR2502015";"17867";"6510-7";"Prairies fauchées collinéennes à submontagnardes eutrophiques";"0,38";"20";;;
"35341";"7347";"FR2502015";"17868";"6410-6";"Prés humides et bas-marais acidiphiles atlantiques";"0,1";"5";;;
"35351";"7447";"FR7401131";"1694";"91E0-1";"Saulaies arborescentes à Saule blanc";"0,04";"0,5";"B";;
"35352";"7447";"FR7401131";"18581";"6210-36";"Pelouses calcicoles subatlantiques xériques et acidiclines sur basaltes et granites du Massif central et du Sud-Est";"0,02";"0,2";"B";;
"35353";"7452";"FR8201660";"10368";"4030-6";"Landes atlantiques sèches méridionales";"1,21";"48,5";"B";"Evaluation à dire d'expert";
"35354";"7452";"FR8201660";"17738";"6410-11";"Prés humides subatlantiques à précontinentaux, montagnards du Massif central et des Pyrénées";"0,25";"9,8";"B";"Evaluation à dire d'expert";
"35355";"7452";"FR8201660";"10376";"7140-1";"Tourbières de transition et tremblants";"0,02";"0,81";"B";"Evaluation à dire d'expert";
"35356";"7452";"FR8201660";"10374";"9340-6";"Yeuseraies acidiphiles à Asplénium fougère d’âne";"2,26";"90,37";"B";"Evaluation à dire d'expert";
"35357";"7452";"FR8201660";"10368";"4030-4";"Landes sèches thermo-atlantiques";"1,84";"73,51";"B";"Evaluation à dire d'expert";
"35358";"7452";"FR8201660";"17736";"6210-36";"Pelouses calcicoles subatlantiques xériques et acidiclines sur basaltes et granites du Massif central et du Sud-Est";"4,21";"168,17";"B";"Evaluation à dire d'expert";
"35359";"7452";"FR8201660";"17737";"6230-4";"Pelouses acidiclines montagnardes du Massif central";"1,49";"59,53";"B";"Evaluation à dire d'expert";
"35360";"7452";"FR8201660";"17737";"6230-8";"Pelouses acidiphiles subatlantiques à nord-atlantiques";"1,49";"59,39";"B";"Evaluation à dire d'expert";
"35361";"7452";"FR8201660";"18543";"6510-3";"Prairies fauchées mésophiles à méso-xérophiles thermo-atlantiques";"0,04";"1,6";"B";"Evaluation à dire d'expert";
"35362";"7452";"FR8201660";"18543";"6510-7";"Prairies fauchées collinéennes à submontagnardes eutrophiques";"0,01";"0,28";"B";"Evaluation à dire d'expert";
"35363";"7452";"FR8201660";"10370";"6520-1";"Prairies fauchées montagnardes et subalpines du massif central";"1,33";"53,31";"B";;
"35364";"7452";"FR8201660";"10371";"8220-14";"Falaises siliceuses des Cévennes";"1,99";"79,5";"A";"Evaluation à dire d'expert";
"35365";"7452";"FR8201660";"10372";"9130-4";"Hêtraies-chênaies subatlantiques à Mélique ou à Chèvrefeuille";"0,97";"38,82";"B";"Evaluation à dire d'expert";
"35366";"7452";"FR8201660";"17742";"91E0-6";"Aulnaies-frênaies de rivières à eaux rapides à Stellaire des bois sur alluvions siliceuses";"1,04";"41,55";"B";"Evaluation à dire d'expert";
"35367";"7452";"FR8201660";"17735";"3160-1";"Mares dystrophes naturelles";"0";"0,04";"B";"Evaluation à dire d'expert";
"35368";"7452";"FR8201660";"17739";"6430-2";"Mégaphorbiaies mésotrophes montagnardes";"0";"0,1";;"Evaluation à dire d'expert";
"35369";"7452";"FR8201660";"17741";"8230-4";"Pelouses pionnières continentales et subatlantiques des dalles siliceuses sèches et chaudes";"0,49";"19,74";"B";"Evaluation à dire d'expert";
"35370";"7452";"FR8201660";"18544";"9120-3";"Hêtraies acidiphiles montagnardes à Houx";"2,32";"92,82";"B";"Evaluation à dire d'expert";
"35371";"7452";"FR8201660";"17742";"91E0-8";"Aulnaies-frênaies à Laîche espacée des petits ruisseaux";"1,03";"41,13";"B";"Evaluation à dire d'expert";
"35372";"7452";"FR8201660";"18541";"3280-2";"Saulaies méditerranéennes à Saule pourpre et Saponaire officinale";"0,01";"0,42";;"Evaluation à dire d'expert";
"35373";"7452";"FR8201660";"10369";"5120-1";"Landes à genêt purgatif du Massif central";"16,46";"657,55";"B";"Evaluation à dire d'expert";
"35374";"7452";"FR8201660";"17736";"6210-19";"Pelouses calcicoles mésophiles acidiclines du Massif central et des Pyrénées";"0,48";"19,18";"B";"Evaluation à dire d'expert";
"35375";"7452";"FR8201660";"10375";"7110-1";"Végétation des tourbières hautes actives";"0,01";"0,55";"B";"Evaluation à dire d'expert";
"35376";"7452";"FR8201660";"10377";"7150-1";"Dépressions sur substrats tourbeux du Rhynchosporion";"0,02";"0,63";"B";"Evaluation à dire d'expert";
"35377";"7452";"FR8201660";"17740";"8110-5";"Éboulis siliceux montagnards à subalpins frais, des Alpes, du Massif central et des Vosges";"0,09";"3,43";"B";;
"35378";"7452";"FR8201660";"18536";"3130-2";"Eaux stagnantes à végétation vivace oligotrophique à mésotrophique planitiaire des régions continentales, des Littorelletea uniflorae";"0,01";"0,3";"B";"Evaluation à dire d'expert";
"35379";"7452";"FR8201660";"10368";"4030-13";"Landes acidiphiles montagnardes du Massif central";"0,75";"29,96";"B";"Evaluation à dire d'expert";
"35392";"7458";"FR8301038";"18214";"7220-1";"Communautés des sources et suintements carbonatés";"0";"0,06";"A";"Autre méthode (préciser)";
"35393";"7458";"FR8301038";"3765";"1340-2";"Prés salés continentaux de niveau moyen";"0";"0,05";"B";"Autre méthode (préciser)";
"35394";"7458";"FR8301038";"3765";"1340-1";"Prés salés continentaux de bas niveau longuement inondés";"0,02";"0,46";"B";"Autre méthode (préciser)";
"35395";"7458";"FR8301038";"3765";"1340-3";"Prairies saumâtres continentales";"0,03";"0,74";"B";"Autre méthode (préciser)";
"35421";"7530";"FR2300125";"8958";"6210-9";"Pelouses calcicoles méso-xérophiles nord-atlantiques des mésoclimats froids";"35,94";"35,68";"C";;
"35422";"7530";"FR2300125";"8964";"6510-6";"Prairies fauchées collinéennes à submontagnardes, mésophiles, mésotrophiques et basophiles";"0,03";"0,03";;;
"35423";"7530";"FR2300125";"16404";"8210-9";"Falaises calcaires planitiaires et collinéennes";"0,84";"0,83";"B";;
"35424";"7530";"FR2300125";"8959";"9130-3";"Hêtraies-chênaies à Jacinthe des bois";"8,2";"8,14";"C";;"Etat de conservation inconnu"
"35425";"7530";"FR2300125";"8959";"9130-2";"Hêtraies-chênaies à Lauréole ou Laîche glauque";"15,2";"15,09";"B";;
"35426";"7530";"FR2300125";"8960";"6110-1";"Pelouses pionnières des dalles calcaires planitiaires et collinéennes";"0,34";"0,34";"A";;
"35427";"7534";"FR2300132";"16396";"6430-1";"Mégaphorbiaies mésotrophes collinéennes";"3,71";"12,54";"B";;"Etude Alise Environnement 2013"
"35428";"7534";"FR2300132";"16396";"6430-4";"Mégaphorbiaies eutrophes des eaux douces";"3,41";"11,51";"B";;"Etude Alise Environnement 2013"
"35430";"7546";"FR2302006";"9442";"6430-1";"Mégaphorbiaies mésotrophes collinéennes";"0";"0,01";"C";;"Evolution naturelle"
"35431";"7546";"FR2302006";"9440";"91E0-1";"Saulaies arborescentes à Saule blanc";"14,71";"34,71";"C";;
"35432";"7546";"FR2302006";"9446";"3270-1";"Bidention des rivières et Chenopodion rubri (hors Loire)";"0,37";"0,87";;;
"35433";"7546";"FR2302006";"9442";"6430-4";"Mégaphorbiaies eutrophes des eaux douces";"8,42";"19,88";"C";;
"35434";"7546";"FR2302006";"9441";"91F0-3";"Chênaies-ormaies à Frêne oxyphylle";"10,56";"24,93";"C";;
"35435";"7546";"FR2302006";"9444";"1130-1";"Slikke en mer à marées (façade atlantique)";"11,06";"26,11";"B";;
"35436";"7546";"FR2302006";"12826";"3150-3";"Plans d’eau eutrophes avec dominance de macrophytes libres flottant à la surface de l'eau";"0,02";"0,04";;;
"35437";"7546";"FR2302006";"9445";"3260-5";"Rivières eutrophes (d’aval), neutres à basiques, dominées par des Renoncules et des Potamots";"11,65";"27,49";;;
"35438";"7548";"FR2302008";"17891";"9180-2";"Frênaies de ravins hyperatlantiques à Scolopendre";"0";"0,29";;;
"35439";"7561";"FR2500092";"2925";"91D0-1.1";"Boulaies pubescentes tourbeuses de plaine";"0,78";"1,31";"A";;"L’habitat d’intérêt communautaire « Aulnaie tourbeuse du Sphagno – Alnion glutinosae » n’est présent

que sur l’extrémité ouest du coeur du marais. Cet habitat n’est pas soumis à des dégradations et est

relativement caractéristique. Les sphaignes (ici Sp"
"35440";"7561";"FR2500092";"2931";"3110-1";"Eaux stagnantes à végétation vivace oligotrophique planitiaire à collinéenne des régions atlantiques, des Littorelletea uniflorae";"3,37";"5,64";"A";;"Les pelouses amphibies à Hypericum elodes et Potamogeton polygonifolius sont en bon état de

conservation sur la plupart des entités cartographiées. Néanmoins, elles peuvent être ponctuellement

dégradées par l’eutrophisation du substrat. C’est le cas à l"
"35441";"7561";"FR2500092";"18656";"6510-7";"Prairies fauchées collinéennes à submontagnardes eutrophiques";"0,28";"0,47";"A";"Evaluation à dire d'expert";
"35442";"7561";"FR2500092";"2927";"3150-4";"Rivières, canaux et fossés eutrophes des marais naturels";"0,22";"0,37";"B";"Evaluation à dire d'expert";
"35443";"7561";"FR2500092";"2932";"6410-6";"Prés humides et bas-marais acidiphiles atlantiques";"11,79";"19,74";"C";"Evaluation à dire d'expert";
"35444";"7561";"FR2500092";"2928";"6430-1";"Mégaphorbiaies mésotrophes collinéennes";"0,06";"0,1";"A";"Evaluation à dire d'expert";
"35445";"7561";"FR2500092";"2930";"7140-1";"Tourbières de transition et tremblants";"8,02";"13,42";"B";;
"35446";"7591";"FR2600990";"18391";"3140-2";"Communautés à characées des eaux oligo-mésotrophes faiblement acides à faiblement alcalines";"0,15";"0,5";;;
"35447";"7591";"FR2600990";"18390";"3150-3";"Plans d’eau eutrophes avec dominance de macrophytes libres flottant à la surface de l'eau";"0,03";"0,1";;;
"35448";"7591";"FR2600990";"3032";"4030-7";"Landes atlantiques subsèches";"0,29";"1";"C";;
"35449";"7591";"FR2600990";"3030";"7110-1";"Végétation des tourbières hautes actives";"1";"3,39";"B";;
"35450";"7591";"FR2600990";"3029";"91D0-1.1";"Boulaies pubescentes tourbeuses de plaine";"0,69";"2,33";"C";;
"35451";"7591";"FR2600990";"18393";"6430-7";"Végétations des lisières forestières nitrophiles, hygroclines, semi-sciaphiles à sciaphiles";"0,59";"2";;;
"35452";"7591";"FR2600990";"18394";"9190-1";"Chênaies pédonculées à Molinie bleue";"3,13";"10,62";"C";;
"35453";"7591";"FR2600990";"18392";"3130-3";"Communautés annuelles mésotrophiques à eutrophiques, de bas-niveau topographique, planitiaires d'affinités continentales, des Isoeto-Juncetea";"0,15";"0,5";;;
"35454";"7591";"FR2600990";"18389";"2330-1";"Pelouses ouvertes pionnières des dunes sableuses intérieures";"0,01";"0,03";"C";"Evaluation à dire d'expert";
"35455";"7593";"FR2601004";"13903";"9150-2";"Hêtraies-chênaies collinéennes à Laîche blanche";"31,84";"69,73";"B";;
"35456";"7593";"FR2601004";"18388";"91E0-11";"Aulnaies à hautes herbes";"1,83";"4,01";;;
"35457";"7593";"FR2601004";"13901";"8160-2";"Éboulis calcaires collinéens, du nord-est de la France";"2,28";"5";"C";;
"35458";"7593";"FR2601004";"3073";"6110-1";"Pelouses pionnières des dalles calcaires planitiaires et collinéennes";"1,33";"2,92";"A";;
"35459";"7593";"FR2601004";"3072";"6210-24";"Pelouses calcicoles méso-xérophiles à tendance continentale";"2,28";"5";"B";;
